,concede,goal,margin,mode,opponent,season
0,1.0,0.0,-1.0,H,Aston Villa,2015
1,1.0,0.0,-1.0,A,Liverpool,2015
2,3.0,4.0,1.0,A,West Ham United,2015
3,1.0,1.0,0.0,H,Leicester City,2015
4,3.0,1.0,-2.0,A,Norwich City,2015
5,0.0,2.0,2.0,H,Sunderland,2015
6,2.0,1.0,-1.0,A,Stoke City,2015
7,1.0,1.0,0.0,H,Watford,2015
8,5.0,1.0,-4.0,A,Manchester City,2015
9,5.0,1.0,-4.0,H,Tottenham Hotspur,2015
10,2.0,0.0,-2.0,A,Southampton,2015
11,1.0,0.0,-1.0,H,Newcastle United,2015
12,2.0,2.0,-0.0,A,Swansea City,2015
13,3.0,3.0,0.0,H,Everton,2015
14,0.0,1.0,1.0,A,Chelsea,2015
15,1.0,2.0,1.0,H,Manchester United,2015
16,1.0,2.0,1.0,A,West Bromwich Albion,2015
17,0.0,0.0,0.0,H,Crystal Palace,2015
18,2.0,0.0,-2.0,A,Arsenal,2015
19,0.0,0.0,-0.0,A,Leicester City,2015
20,3.0,1.0,-2.0,H,West Ham United,2015
21,0.0,3.0,3.0,H,Norwich City,2015
22,1.0,1.0,-0.0,A,Sunderland,2015
23,1.0,2.0,1.0,A,Crystal Palace,2015
24,2.0,0.0,-2.0,H,Arsenal,2015
25,3.0,1.0,-2.0,H,Stoke City,2015
26,0.0,0.0,-0.0,A,Watford,2015
27,0.0,2.0,2.0,H,Southampton,2015
28,1.0,3.0,2.0,A,Newcastle United,2015
29,2.0,3.0,1.0,H,Swansea City,2015
30,3.0,0.0,-3.0,A,Tottenham Hotspur,2015
31,4.0,0.0,-4.0,H,Manchester City,2015
32,1.0,2.0,1.0,A,Aston Villa,2015
33,2.0,1.0,-1.0,H,Liverpool,2015
34,4.0,1.0,-3.0,H,Chelsea,2015
35,2.0,1.0,-1.0,A,Everton,2015
36,1.0,1.0,0.0,H,West Bromwich Albion,2015
37,3.0,1.0,-2.0,A,Manchester United,2015
38,3.0,1.0,-2.0,H,Manchester United,2016
39,1.0,0.0,-1.0,A,West Ham United,2016
40,1.0,1.0,-0.0,A,Crystal Palace,2016
41,0.0,1.0,1.0,H,West Bromwich Albion,2016
42,4.0,0.0,-4.0,A,Manchester City,2016
43,0.0,1.0,1.0,H,Everton,2016
44,2.0,2.0,-0.0,A,Watford,2016
45,1.0,6.0,5.0,H,Hull City,2016
46,0.0,0.0,0.0,H,Tottenham Hotspur,2016
47,2.0,0.0,-2.0,A,Middlesbrough,2016
48,2.0,1.0,-1.0,H,Sunderland,2016
49,0.0,1.0,1.0,A,Stoke City,2016
50,3.0,1.0,-2.0,A,Arsenal,2016
51,3.0,4.0,1.0,H,Liverpool,2016
52,3.0,2.0,-1.0,A,Burnley,2016
53,0.0,1.0,1.0,H,Leicester City,2016
54,3.0,1.0,-2.0,H,Southampton,2016
55,3.0,0.0,-3.0,A,Chelsea,2016
56,0.0,3.0,3.0,A,Swansea City,2016
57,3.0,3.0,0.0,H,Arsenal,2016
58,3.0,1.0,-2.0,A,Hull City,2016
59,2.0,2.0,0.0,H,Watford,2016
60,2.0,0.0,-2.0,H,Crystal Palace,2016
61,6.0,3.0,-3.0,A,Everton,2016
62,2.0,0.0,-2.0,H,Manchester City,2016
63,2.0,1.0,-1.0,A,West Bromwich Albion,2016
64,1.0,1.0,-0.0,A,Manchester United,2016
65,2.0,3.0,1.0,H,West Ham United,2016
66,0.0,2.0,2.0,H,Swansea City,2016
67,0.0,0.0,-0.0,A,Southampton,2016
68,2.0,2.0,-0.0,A,Liverpool,2016
69,3.0,1.0,-2.0,H,Chelsea,2016
70,4.0,0.0,-4.0,A,Tottenham Hotspur,2016
71,0.0,4.0,4.0,H,Middlesbrough,2016
72,0.0,1.0,1.0,A,Sunderland,2016
73,2.0,2.0,0.0,H,Stoke City,2016
74,1.0,2.0,1.0,H,Burnley,2016
75,1.0,1.0,-0.0,A,Leicester City,2016
76,1.0,0.0,-1.0,A,West Bromwich Albion,2017
77,2.0,0.0,-2.0,H,Watford,2017
78,2.0,1.0,-1.0,H,Manchester City,2017
79,3.0,0.0,-3.0,A,Arsenal,2017
80,1.0,2.0,1.0,H,Brighton and Hove Albion,2017
81,2.0,1.0,-1.0,A,Everton,2017
82,0.0,0.0,0.0,H,Leicester City,2017
83,1.0,0.0,-1.0,A,Tottenham Hotspur,2017
84,1.0,2.0,1.0,A,Stoke City,2017
85,1.0,0.0,-1.0,H,Chelsea,2017
86,0.0,1.0,1.0,A,Newcastle United,2017
87,0.0,4.0,4.0,H,Huddersfield Town,2017
88,0.0,0.0,-0.0,A,Swansea City,2017
89,2.0,1.0,-1.0,H,Burnley,2017
90,1.0,1.0,0.0,H,Southampton,2017
91,2.0,2.0,-0.0,A,Crystal Palace,2017
92,1.0,0.0,-1.0,A,Manchester United,2017
93,4.0,0.0,-4.0,H,Liverpool,2017
94,4.0,0.0,-4.0,A,Manchester City,2017
95,3.0,3.0,0.0,H,West Ham United,2017
96,1.0,2.0,1.0,H,Everton,2017
97,2.0,2.0,-0.0,A,Brighton and Hove Albion,2017
98,1.0,2.0,1.0,H,Arsenal,2017
99,1.0,1.0,-0.0,A,West Ham United,2017
100,0.0,3.0,3.0,A,Chelsea,2017
101,1.0,2.0,1.0,H,Stoke City,2017
102,4.0,1.0,-3.0,A,Huddersfield Town,2017
103,2.0,2.0,0.0,H,Newcastle United,2017
104,1.0,1.0,-0.0,A,Leicester City,2017
105,4.0,1.0,-3.0,H,Tottenham Hotspur,2017
106,1.0,2.0,1.0,H,West Bromwich Albion,2017
107,2.0,2.0,-0.0,A,Watford,2017
108,2.0,2.0,0.0,H,Crystal Palace,2017
109,3.0,0.0,-3.0,A,Liverpool,2017
110,2.0,0.0,-2.0,H,Manchester United,2017
111,2.0,1.0,-1.0,A,Southampton,2017
112,0.0,1.0,1.0,H,Swansea City,2017
113,1.0,2.0,1.0,A,Burnley,2017
