,concede,goal,margin,mode,opponent,season
0,1.0,1.0,-0.0,A,Arsenal,2006
1,1.0,2.0,1.0,H,Reading,2006
2,0.0,2.0,2.0,H,Newcastle United,2006
3,1.0,1.0,-0.0,A,West Ham United,2006
4,0.0,0.0,-0.0,A,Watford,2006
5,0.0,2.0,2.0,H,Charlton Athletic,2006
6,1.0,1.0,-0.0,A,Chelsea,2006
7,1.0,1.0,0.0,H,Tottenham Hotspur,2006
8,1.0,1.0,0.0,H,Fulham,2006
9,3.0,1.0,-2.0,A,Liverpool,2006
10,0.0,2.0,2.0,H,Blackburn Rovers,2006
11,0.0,1.0,1.0,A,Everton,2006
12,0.0,0.0,-0.0,A,Wigan Athletic,2006
13,1.0,1.0,0.0,H,Middlesbrough,2006
14,3.0,1.0,-2.0,H,Manchester City,2006
15,2.0,2.0,-0.0,A,Portsmouth,2006
16,2.0,2.0,-0.0,A,Sheffield United,2006
17,1.0,0.0,-1.0,H,Bolton Wanderers,2006
18,3.0,0.0,-3.0,H,Manchester United,2006
19,2.0,1.0,-1.0,A,Tottenham Hotspur,2006
20,2.0,1.0,-1.0,A,Charlton Athletic,2006
21,0.0,0.0,0.0,H,Chelsea,2006
22,3.0,1.0,-2.0,A,Manchester United,2006
23,0.0,2.0,2.0,H,Watford,2006
24,3.0,1.0,-2.0,A,Newcastle United,2006
25,0.0,1.0,1.0,H,West Ham United,2006
26,2.0,0.0,-2.0,A,Reading,2006
27,1.0,1.0,-0.0,A,Fulham,2006
28,1.0,0.0,-1.0,H,Arsenal,2006
29,0.0,0.0,0.0,H,Liverpool,2006
30,1.0,1.0,0.0,H,Everton,2006
31,1.0,2.0,1.0,A,Blackburn Rovers,2006
32,1.0,1.0,0.0,H,Wigan Athletic,2006
33,1.0,3.0,2.0,A,Middlesbrough,2006
34,0.0,0.0,0.0,H,Portsmouth,2006
35,0.0,2.0,2.0,A,Manchester City,2006
36,0.0,3.0,3.0,H,Sheffield United,2006
37,2.0,2.0,-0.0,A,Bolton Wanderers,2006
38,2.0,1.0,-1.0,H,Liverpool,2007
39,0.0,0.0,-0.0,A,Newcastle United,2007
40,1.0,2.0,1.0,H,Fulham,2007
41,0.0,2.0,2.0,H,Chelsea,2007
42,1.0,0.0,-1.0,A,Manchester City,2007
43,0.0,2.0,2.0,H,Everton,2007
44,4.0,4.0,-0.0,A,Tottenham Hotspur,2007
45,0.0,1.0,1.0,H,West Ham United,2007
46,4.0,1.0,-3.0,H,Manchester United,2007
47,1.0,1.0,-0.0,A,Bolton Wanderers,2007
48,0.0,2.0,2.0,H,Derby County,2007
49,1.0,2.0,1.0,A,Birmingham City,2007
50,0.0,3.0,3.0,A,Middlesbrough,2007
51,0.0,4.0,4.0,A,Blackburn Rovers,2007
52,2.0,1.0,-1.0,H,Arsenal,2007
53,3.0,1.0,-2.0,H,Portsmouth,2007
54,1.0,1.0,-0.0,A,Sunderland,2007
55,1.0,1.0,0.0,H,Manchester City,2007
56,4.0,4.0,-0.0,A,Chelsea,2007
57,1.0,2.0,1.0,A,Wigan Athletic,2007
58,1.0,2.0,1.0,H,Tottenham Hotspur,2007
59,1.0,3.0,2.0,H,Reading,2007
60,2.0,2.0,-0.0,A,Liverpool,2007
61,1.0,1.0,0.0,H,Blackburn Rovers,2007
62,2.0,1.0,-1.0,A,Fulham,2007
63,1.0,4.0,3.0,H,Newcastle United,2007
64,1.0,2.0,1.0,A,Reading,2007
65,1.0,1.0,-0.0,A,Arsenal,2007
66,1.0,1.0,0.0,H,Middlesbrough,2007
67,2.0,0.0,-2.0,A,Portsmouth,2007
68,1.0,0.0,-1.0,H,Sunderland,2007
69,4.0,0.0,-4.0,A,Manchester United,2007
70,0.0,4.0,4.0,H,Bolton Wanderers,2007
71,0.0,6.0,6.0,A,Derby County,2007
72,1.0,5.0,4.0,H,Birmingham City,2007
73,2.0,2.0,-0.0,A,Everton,2007
74,2.0,0.0,-2.0,H,Wigan Athletic,2007
75,2.0,2.0,-0.0,A,West Ham United,2007
76,2.0,4.0,2.0,H,Manchester City,2008
77,3.0,2.0,-1.0,A,Stoke City,2008
78,0.0,0.0,0.0,H,Liverpool,2008
79,1.0,2.0,1.0,A,Tottenham Hotspur,2008
80,1.0,2.0,1.0,A,West Bromwich Albion,2008
81,1.0,2.0,1.0,H,Sunderland,2008
82,2.0,0.0,-2.0,A,Chelsea,2008
83,0.0,0.0,0.0,H,Portsmouth,2008
84,0.0,4.0,4.0,A,Wigan Athletic,2008
85,2.0,3.0,1.0,H,Blackburn Rovers,2008
86,2.0,0.0,-2.0,A,Newcastle United,2008
87,2.0,1.0,-1.0,H,Middlesbrough,2008
88,0.0,2.0,2.0,A,Arsenal,2008
89,0.0,0.0,0.0,H,Manchester United,2008
90,0.0,0.0,0.0,H,Fulham,2008
91,2.0,3.0,1.0,A,Everton,2008
92,2.0,4.0,2.0,H,Bolton Wanderers,2008
93,0.0,1.0,1.0,A,West Ham United,2008
94,2.0,2.0,0.0,H,Arsenal,2008
95,0.0,1.0,1.0,A,Hull City,2008
96,1.0,2.0,1.0,H,West Bromwich Albion,2008
97,1.0,2.0,1.0,A,Sunderland,2008
98,0.0,1.0,1.0,A,Portsmouth,2008
99,0.0,0.0,0.0,H,Wigan Athletic,2008
100,0.0,2.0,2.0,A,Blackburn Rovers,2008
101,1.0,0.0,-1.0,H,Chelsea,2008
102,2.0,2.0,0.0,H,Stoke City,2008
103,2.0,0.0,-2.0,A,Manchester City,2008
104,2.0,1.0,-1.0,H,Tottenham Hotspur,2008
105,5.0,0.0,-5.0,A,Liverpool,2008
106,3.0,2.0,-1.0,A,Manchester United,2008
107,3.0,3.0,0.0,H,Everton,2008
108,1.0,1.0,0.0,H,West Ham United,2008
109,1.0,1.0,-0.0,A,Bolton Wanderers,2008
110,0.0,1.0,1.0,H,Hull City,2008
111,3.0,1.0,-2.0,A,Fulham,2008
112,1.0,1.0,-0.0,A,Middlesbrough,2008
113,0.0,1.0,1.0,H,Newcastle United,2008
114,2.0,0.0,-2.0,H,Wigan Athletic,2009
115,1.0,3.0,2.0,A,Liverpool,2009
116,0.0,2.0,2.0,H,Fulham,2009
117,0.0,1.0,1.0,A,Birmingham City,2009
118,0.0,2.0,2.0,H,Portsmouth,2009
119,2.0,1.0,-1.0,A,Blackburn Rovers,2009
120,1.0,1.0,0.0,H,Manchester City,2009
121,1.0,2.0,1.0,H,Chelsea,2009
122,1.0,1.0,-0.0,A,Wolverhampton Wanderers,2009
123,1.0,1.0,-0.0,A,Everton,2009
124,2.0,1.0,-1.0,A,West Ham United,2009
125,1.0,5.0,4.0,H,Bolton Wanderers,2009
126,1.0,1.0,-0.0,A,Burnley,2009
127,1.0,1.0,0.0,H,Tottenham Hotspur,2009
128,0.0,3.0,3.0,H,Hull City,2009
129,0.0,1.0,1.0,A,Manchester United,2009
130,0.0,2.0,2.0,A,Sunderland,2009
131,0.0,1.0,1.0,H,Stoke City,2009
132,3.0,0.0,-3.0,A,Arsenal,2009
133,1.0,0.0,-1.0,H,Liverpool,2009
134,0.0,0.0,0.0,H,West Ham United,2009
135,0.0,0.0,0.0,H,Arsenal,2009
136,0.0,2.0,2.0,A,Fulham,2009
137,0.0,0.0,-0.0,A,Tottenham Hotspur,2009
138,1.0,1.0,0.0,H,Manchester United,2009
139,2.0,5.0,3.0,H,Burnley,2009
140,0.0,0.0,-0.0,A,Stoke City,2009
141,1.0,2.0,1.0,A,Wigan Athletic,2009
142,2.0,2.0,0.0,H,Wolverhampton Wanderers,2009
143,1.0,1.0,0.0,H,Sunderland,2009
144,7.0,1.0,-6.0,A,Chelsea,2009
145,0.0,1.0,1.0,A,Bolton Wanderers,2009
146,2.0,2.0,0.0,H,Everton,2009
147,1.0,2.0,1.0,A,Portsmouth,2009
148,0.0,2.0,2.0,A,Hull City,2009
149,0.0,1.0,1.0,H,Birmingham City,2009
150,3.0,1.0,-2.0,A,Manchester City,2009
151,1.0,0.0,-1.0,H,Blackburn Rovers,2009
152,0.0,3.0,3.0,H,West Ham United,2010
153,6.0,0.0,-6.0,A,Newcastle United,2010
154,0.0,1.0,1.0,H,Everton,2010
155,2.0,1.0,-1.0,A,Stoke City,2010
156,1.0,1.0,0.0,H,Bolton Wanderers,2010
157,1.0,2.0,1.0,A,Wolverhampton Wanderers,2010
158,2.0,1.0,-1.0,A,Tottenham Hotspur,2010
159,0.0,0.0,0.0,H,Chelsea,2010
160,1.0,0.0,-1.0,A,Sunderland,2010
161,0.0,0.0,0.0,H,Birmingham City,2010
162,1.0,1.0,-0.0,A,Fulham,2010
163,2.0,3.0,1.0,H,Blackpool,2010
164,2.0,2.0,0.0,H,Manchester United,2010
165,2.0,0.0,-2.0,A,Blackburn Rovers,2010
166,4.0,2.0,-2.0,H,Arsenal,2010
167,3.0,0.0,-3.0,A,Liverpool,2010
168,1.0,2.0,1.0,H,West Bromwich Albion,2010
169,2.0,1.0,-1.0,H,Tottenham Hotspur,2010
170,4.0,0.0,-4.0,A,Manchester City,2010
