,concede,goal,margin,mode,opponent,season
0,3.0,2.0,-1.0,A,Chelsea,2007
1,2.0,2.0,0.0,H,Sunderland,2007
2,1.0,0.0,-1.0,H,West Ham United,2007
3,1.0,2.0,1.0,A,Derby County,2007
4,2.0,0.0,-2.0,A,Middlesbrough,2007
5,0.0,1.0,1.0,H,Bolton Wanderers,2007
6,0.0,0.0,-0.0,A,Liverpool,2007
7,1.0,0.0,-1.0,H,Manchester United,2007
8,2.0,1.0,-1.0,A,Blackburn Rovers,2007
9,1.0,0.0,-1.0,A,Manchester City,2007
10,2.0,3.0,1.0,H,Wigan Athletic,2007
11,3.0,1.0,-2.0,A,Everton,2007
12,2.0,1.0,-1.0,H,Aston Villa,2007
13,2.0,0.0,-2.0,H,Portsmouth,2007
14,2.0,3.0,1.0,A,Tottenham Hotspur,2007
15,2.0,1.0,-1.0,A,Newcastle United,2007
16,1.0,1.0,0.0,H,Reading,2007
17,3.0,0.0,-3.0,A,Bolton Wanderers,2007
18,0.0,3.0,3.0,H,Middlesbrough,2007
19,1.0,1.0,0.0,H,Fulham,2007
20,1.0,0.0,-1.0,A,Manchester United,2007
21,1.0,1.0,-0.0,A,Arsenal,2007
22,1.0,0.0,-1.0,H,Chelsea,2007
23,2.0,0.0,-2.0,A,Sunderland,2007
24,1.0,1.0,0.0,H,Derby County,2007
25,1.0,1.0,-0.0,A,West Ham United,2007
26,2.0,2.0,0.0,H,Arsenal,2007
27,1.0,4.0,3.0,H,Tottenham Hotspur,2007
28,4.0,2.0,-2.0,A,Portsmouth,2007
29,1.0,1.0,0.0,H,Newcastle United,2007
30,2.0,1.0,-1.0,A,Reading,2007
31,1.0,3.0,2.0,H,Manchester City,2007
32,2.0,0.0,-2.0,A,Wigan Athletic,2007
33,1.0,1.0,0.0,H,Everton,2007
34,5.0,1.0,-4.0,A,Aston Villa,2007
35,2.0,2.0,0.0,H,Liverpool,2007
36,2.0,0.0,-2.0,A,Fulham,2007
37,1.0,4.0,3.0,H,Blackburn Rovers,2007
38,1.0,0.0,-1.0,A,Manchester United,2009
39,0.0,1.0,1.0,H,Portsmouth,2009
40,0.0,0.0,0.0,H,Stoke City,2009
41,2.0,1.0,-1.0,A,Tottenham Hotspur,2009
42,1.0,0.0,-1.0,H,Aston Villa,2009
43,0.0,1.0,1.0,A,Hull City,2009
44,2.0,1.0,-1.0,H,Bolton Wanderers,2009
45,2.0,1.0,-1.0,A,Burnley,2009
46,3.0,1.0,-2.0,A,Arsenal,2009
47,1.0,2.0,1.0,H,Sunderland,2009
48,0.0,0.0,0.0,H,Manchester City,2009
49,2.0,2.0,-0.0,A,Liverpool,2009
50,0.0,1.0,1.0,H,Fulham,2009
51,0.0,1.0,1.0,A,Wolverhampton Wanderers,2009
52,2.0,3.0,1.0,A,Wigan Athletic,2009
53,0.0,1.0,1.0,H,West Ham United,2009
54,1.0,2.0,1.0,H,Blackburn Rovers,2009
55,1.0,1.0,-0.0,A,Everton,2009
56,0.0,0.0,0.0,H,Chelsea,2009
57,0.0,1.0,1.0,A,Stoke City,2009
58,1.0,1.0,0.0,H,Manchester United,2009
59,3.0,0.0,-3.0,A,Chelsea,2009
60,1.0,1.0,0.0,H,Tottenham Hotspur,2009
61,1.0,2.0,1.0,H,Wolverhampton Wanderers,2009
62,2.0,0.0,-2.0,A,West Ham United,2009
63,2.0,1.0,-1.0,A,Fulham,2009
64,0.0,1.0,1.0,H,Wigan Athletic,2009
65,1.0,2.0,1.0,A,Portsmouth,2009
66,2.0,2.0,0.0,H,Everton,2009
67,3.0,1.0,-2.0,A,Sunderland,2009
68,2.0,1.0,-1.0,A,Blackburn Rovers,2009
69,1.0,1.0,0.0,H,Arsenal,2009
70,1.0,1.0,0.0,H,Liverpool,2009
71,5.0,1.0,-4.0,A,Manchester City,2009
72,0.0,0.0,0.0,H,Hull City,2009
73,1.0,0.0,-1.0,A,Aston Villa,2009
74,1.0,2.0,1.0,H,Burnley,2009
75,2.0,1.0,-1.0,A,Bolton Wanderers,2009
76,2.0,2.0,-0.0,A,Sunderland,2010
77,1.0,2.0,1.0,H,Blackburn Rovers,2010
78,2.0,2.0,-0.0,A,Bolton Wanderers,2010
79,0.0,0.0,0.0,H,Liverpool,2010
80,3.0,1.0,-2.0,A,West Bromwich Albion,2010
81,0.0,0.0,0.0,H,Wigan Athletic,2010
82,2.0,0.0,-2.0,H,Everton,2010
83,2.0,1.0,-1.0,A,Arsenal,2010
84,0.0,2.0,2.0,H,Blackpool,2010
85,0.0,0.0,-0.0,A,Aston Villa,2010
86,2.0,2.0,0.0,H,West Ham United,2010
87,3.0,2.0,-1.0,A,Stoke City,2010
88,0.0,0.0,-0.0,A,Manchester City,2010
89,0.0,1.0,1.0,H,Chelsea,2010
90,1.0,1.0,-0.0,A,Fulham,2010
91,1.0,1.0,0.0,H,Tottenham Hotspur,2010
92,1.0,0.0,-1.0,A,Wolverhampton Wanderers,2010
93,1.0,1.0,0.0,H,Manchester United,2010
94,3.0,0.0,-3.0,H,Arsenal,2010
95,1.0,2.0,1.0,A,Blackpool,2010
96,1.0,1.0,0.0,H,Aston Villa,2010
97,5.0,0.0,-5.0,A,Manchester United,2010
98,2.0,2.0,0.0,H,Manchester City,2010
99,0.0,1.0,1.0,A,West Ham United,2010
100,0.0,1.0,1.0,H,Stoke City,2010
101,2.0,0.0,-2.0,H,Newcastle United,2010
102,3.0,1.0,-2.0,H,West Bromwich Albion,2010
103,1.0,1.0,-0.0,A,Everton,2010
104,2.0,1.0,-1.0,A,Wigan Athletic,2010
105,1.0,2.0,1.0,H,Bolton Wanderers,2010
106,1.0,1.0,-0.0,A,Blackburn Rovers,2010
107,0.0,2.0,2.0,H,Sunderland,2010
108,3.0,1.0,-2.0,A,Chelsea,2010
109,5.0,0.0,-5.0,A,Liverpool,2010
110,1.0,1.0,0.0,H,Wolverhampton Wanderers,2010
111,2.0,1.0,-1.0,A,Newcastle United,2010
112,2.0,0.0,-2.0,H,Fulham,2010
113,2.0,1.0,-1.0,A,Tottenham Hotspur,2010
