,concede,goal,margin,mode,opponent,season
0,0.0,4.0,4.0,A,Wigan Athletic,2010
1,6.0,0.0,-6.0,A,Arsenal,2010
2,2.0,2.0,0.0,H,Fulham,2010
3,0.0,2.0,2.0,A,Newcastle United,2010
4,4.0,0.0,-4.0,A,Chelsea,2010
5,2.0,1.0,-1.0,H,Blackburn Rovers,2010
6,1.0,2.0,1.0,A,Liverpool,2010
7,3.0,2.0,-1.0,H,Manchester City,2010
8,2.0,0.0,-2.0,A,Birmingham City,2010
9,1.0,2.0,1.0,H,West Bromwich Albion,2010
10,2.0,2.0,0.0,H,Everton,2010
11,3.0,2.0,-1.0,A,Aston Villa,2010
12,0.0,0.0,-0.0,A,West Ham United,2010
13,1.0,2.0,1.0,H,Wolverhampton Wanderers,2010
14,2.0,2.0,-0.0,A,Bolton Wanderers,2010
15,0.0,1.0,1.0,A,Stoke City,2010
16,0.0,2.0,2.0,A,Sunderland,2010
17,1.0,0.0,-1.0,A,Manchester City,2010
18,2.0,1.0,-1.0,H,Birmingham City,2010
19,1.0,2.0,1.0,H,Liverpool,2010
20,3.0,2.0,-1.0,A,West Bromwich Albion,2010
21,2.0,1.0,-1.0,H,Sunderland,2010
22,3.0,2.0,-1.0,H,Manchester United,2010
23,3.0,1.0,-2.0,H,West Ham United,2010
24,5.0,3.0,-2.0,A,Everton,2010
25,1.0,1.0,0.0,H,Aston Villa,2010
26,1.0,3.0,2.0,H,Tottenham Hotspur,2010
27,4.0,0.0,-4.0,A,Wolverhampton Wanderers,2010
28,3.0,1.0,-2.0,H,Chelsea,2010
29,2.0,2.0,-0.0,A,Blackburn Rovers,2010
30,3.0,0.0,-3.0,A,Fulham,2010
31,3.0,1.0,-2.0,H,Arsenal,2010
32,3.0,1.0,-2.0,H,Wigan Athletic,2010
33,1.0,1.0,0.0,H,Newcastle United,2010
34,0.0,0.0,0.0,H,Stoke City,2010
35,1.0,1.0,-0.0,A,Tottenham Hotspur,2010
36,3.0,4.0,1.0,H,Bolton Wanderers,2010
37,4.0,2.0,-2.0,A,Manchester United,2010
