,concede,goal,margin,mode,opponent,season
0,2.0,0.0,-2.0,H,Manchester City,2017
1,2.0,0.0,-2.0,A,Leicester City,2017
2,0.0,0.0,-0.0,A,Watford,2017
3,1.0,3.0,2.0,H,West Bromwich Albion,2017
4,2.0,1.0,-1.0,A,AFC Bournemouth,2017
5,0.0,1.0,1.0,H,Newcastle United,2017
6,2.0,0.0,-2.0,A,Arsenal,2017
7,1.0,1.0,0.0,H,Everton,2017
8,0.0,3.0,3.0,A,West Ham United,2017
9,1.0,1.0,0.0,H,Southampton,2017
10,0.0,1.0,1.0,A,Swansea City,2017
11,2.0,2.0,0.0,H,Stoke City,2017
12,1.0,0.0,-1.0,A,Manchester United,2017
13,0.0,0.0,0.0,H,Crystal Palace,2017
14,5.0,1.0,-4.0,H,Liverpool,2017
15,2.0,0.0,-2.0,A,Huddersfield Town,2017
16,2.0,0.0,-2.0,A,Tottenham Hotspur,2017
17,0.0,0.0,0.0,H,Burnley,2017
18,0.0,1.0,1.0,H,Watford,2017
19,2.0,0.0,-2.0,A,Chelsea,2017
20,0.0,0.0,-0.0,A,Newcastle United,2017
21,2.0,2.0,0.0,H,AFC Bournemouth,2017
22,2.0,0.0,-2.0,A,West Bromwich Albion,2017
23,4.0,0.0,-4.0,H,Chelsea,2017
24,1.0,1.0,-0.0,A,Southampton,2017
25,1.0,3.0,2.0,H,West Ham United,2017
26,1.0,1.0,-0.0,A,Stoke City,2017
27,1.0,4.0,3.0,H,Swansea City,2017
28,1.0,2.0,1.0,H,Arsenal,2017
29,2.0,0.0,-2.0,A,Everton,2017
30,2.0,0.0,-2.0,H,Leicester City,2017
31,1.0,1.0,0.0,H,Huddersfield Town,2017
32,3.0,2.0,-1.0,A,Crystal Palace,2017
33,1.0,1.0,0.0,H,Tottenham Hotspur,2017
34,0.0,0.0,-0.0,A,Burnley,2017
35,0.0,1.0,1.0,H,Manchester United,2017
36,3.0,1.0,-2.0,A,Manchester City,2017
37,4.0,0.0,-4.0,A,Liverpool,2017
