,concede,goal,margin,mode,opponent,season
0,2.0,0.0,-2.0,A,West Ham United,2013
1,2.0,3.0,1.0,H,Manchester City,2013
2,0.0,0.0,0.0,H,Everton,2013
3,1.0,1.0,-0.0,A,Hull City,2013
4,1.0,0.0,-1.0,H,Tottenham Hotspur,2013
5,1.0,2.0,1.0,A,Fulham,2013
6,2.0,1.0,-1.0,H,Newcastle United,2013
7,4.0,1.0,-3.0,A,Chelsea,2013
8,0.0,0.0,-0.0,A,Norwich City,2013
9,0.0,1.0,1.0,H,Swansea City,2013
10,2.0,0.0,-2.0,A,Aston Villa,2013
11,2.0,2.0,0.0,H,Manchester United,2013
12,3.0,0.0,-3.0,H,Arsenal,2013
13,0.0,0.0,-0.0,A,Stoke City,2013
14,2.0,0.0,-2.0,A,Crystal Palace,2013
15,0.0,1.0,1.0,H,West Bromwich Albion,2013
16,3.0,1.0,-2.0,A,Liverpool,2013
17,3.0,0.0,-3.0,H,Southampton,2013
18,2.0,2.0,0.0,H,Sunderland,2013
19,2.0,0.0,-2.0,A,Arsenal,2013
20,2.0,0.0,-2.0,H,West Ham United,2013
21,4.0,2.0,-2.0,A,Manchester City,2013
22,2.0,0.0,-2.0,A,Manchester United,2013
23,1.0,2.0,1.0,H,Norwich City,2013
24,3.0,0.0,-3.0,A,Swansea City,2013
25,0.0,0.0,0.0,H,Aston Villa,2013
26,4.0,0.0,-4.0,H,Hull City,2013
27,1.0,0.0,-1.0,A,Tottenham Hotspur,2013
28,1.0,3.0,2.0,H,Fulham,2013
29,2.0,1.0,-1.0,A,Everton,2013
30,6.0,3.0,-3.0,H,Liverpool,2013
31,3.0,3.0,-0.0,A,West Bromwich Albion,2013
32,3.0,0.0,-3.0,H,Crystal Palace,2013
33,0.0,1.0,1.0,A,Southampton,2013
34,1.0,1.0,0.0,H,Stoke City,2013
35,4.0,0.0,-4.0,A,Sunderland,2013
36,3.0,0.0,-3.0,A,Newcastle United,2013
37,2.0,1.0,-1.0,H,Chelsea,2013
