,concede,goal,margin,mode,opponent,season
0,1.0,0.0,-1.0,H,Tottenham Hotspur,2013
1,2.0,1.0,-1.0,A,Stoke City,2013
2,1.0,3.0,2.0,H,Sunderland,2013
3,2.0,0.0,-2.0,A,Manchester United,2013
4,2.0,0.0,-2.0,H,Swansea City,2013
5,2.0,0.0,-2.0,A,Southampton,2013
6,3.0,1.0,-2.0,A,Liverpool,2013
7,4.0,1.0,-3.0,H,Fulham,2013
8,2.0,0.0,-2.0,H,Arsenal,2013
9,2.0,0.0,-2.0,A,West Bromwich Albion,2013
10,0.0,0.0,0.0,H,Everton,2013
11,0.0,1.0,1.0,A,Hull City,2013
12,1.0,0.0,-1.0,A,Norwich City,2013
13,0.0,1.0,1.0,H,West Ham United,2013
14,0.0,2.0,2.0,H,Cardiff City,2013
15,2.0,1.0,-1.0,A,Chelsea,2013
16,3.0,0.0,-3.0,H,Newcastle United,2013
17,0.0,1.0,1.0,A,Aston Villa,2013
18,1.0,0.0,-1.0,A,Manchester City,2013
19,1.0,1.0,0.0,H,Norwich City,2013
20,2.0,0.0,-2.0,A,Tottenham Hotspur,2013
21,0.0,1.0,1.0,H,Stoke City,2013
22,0.0,1.0,1.0,H,Hull City,2013
23,2.0,0.0,-2.0,A,Arsenal,2013
24,1.0,3.0,2.0,H,West Bromwich Albion,2013
25,2.0,0.0,-2.0,H,Manchester United,2013
26,1.0,1.0,-0.0,A,Swansea City,2013
27,1.0,0.0,-1.0,H,Southampton,2013
28,0.0,0.0,-0.0,A,Sunderland,2013
29,1.0,0.0,-1.0,A,Newcastle United,2013
30,0.0,1.0,1.0,H,Chelsea,2013
31,0.0,3.0,3.0,A,Cardiff City,2013
32,0.0,1.0,1.0,H,Aston Villa,2013
33,2.0,3.0,1.0,A,Everton,2013
34,0.0,1.0,1.0,A,West Ham United,2013
35,2.0,0.0,-2.0,H,Manchester City,2013
36,3.0,3.0,0.0,H,Liverpool,2013
37,2.0,2.0,-0.0,A,Fulham,2013
38,2.0,1.0,-1.0,A,Arsenal,2014
39,3.0,1.0,-2.0,H,West Ham United,2014
40,3.0,3.0,-0.0,A,Newcastle United,2014
41,0.0,0.0,0.0,H,Burnley,2014
42,2.0,3.0,1.0,A,Everton,2014
43,0.0,2.0,2.0,H,Leicester City,2014
44,2.0,0.0,-2.0,A,Hull City,2014
45,2.0,1.0,-1.0,H,Chelsea,2014
46,2.0,2.0,-0.0,A,West Bromwich Albion,2014
47,3.0,1.0,-2.0,H,Sunderland,2014
48,1.0,0.0,-1.0,A,Manchester United,2014
49,1.0,3.0,2.0,H,Liverpool,2014
50,1.0,1.0,-0.0,A,Swansea City,2014
51,1.0,0.0,-1.0,H,Aston Villa,2014
52,0.0,0.0,-0.0,A,Tottenham Hotspur,2014
53,1.0,1.0,0.0,H,Stoke City,2014
54,3.0,0.0,-3.0,A,Manchester City,2014
55,3.0,1.0,-2.0,H,Southampton,2014
56,0.0,0.0,-0.0,A,Queens Park Rangers,2014
57,0.0,0.0,-0.0,A,Aston Villa,2014
