,concede,goal,margin,mode,opponent,season
0,2.0,2.0,0.0,H,Portsmouth,2007
1,1.0,0.0,-1.0,A,Manchester City,2007
2,4.0,0.0,-4.0,A,Tottenham Hotspur,2007
3,2.0,1.0,-1.0,H,Birmingham City,2007
4,6.0,0.0,-6.0,A,Liverpool,2007
5,0.0,1.0,1.0,H,Newcastle United,2007
6,5.0,0.0,-5.0,A,Arsenal,2007
7,1.0,1.0,0.0,H,Bolton Wanderers,2007
8,1.0,0.0,-1.0,A,Reading,2007
9,0.0,0.0,-0.0,A,Fulham,2007
10,2.0,0.0,-2.0,H,Everton,2007
11,2.0,0.0,-2.0,A,Aston Villa,2007
12,5.0,0.0,-5.0,H,West Ham United,2007
13,2.0,0.0,-2.0,H,Chelsea,2007
14,1.0,0.0,-1.0,A,Sunderland,2007
15,4.0,1.0,-3.0,A,Manchester United,2007
16,1.0,0.0,-1.0,H,Middlesbrough,2007
17,2.0,2.0,-0.0,A,Newcastle United,2007
18,2.0,1.0,-1.0,H,Liverpool,2007
19,2.0,1.0,-1.0,H,Blackburn Rovers,2007
20,1.0,0.0,-1.0,A,Bolton Wanderers,2007
21,1.0,0.0,-1.0,H,Wigan Athletic,2007
22,3.0,1.0,-2.0,A,Portsmouth,2007
23,1.0,1.0,0.0,H,Manchester City,2007
24,1.0,1.0,-0.0,A,Birmingham City,2007
25,3.0,0.0,-3.0,H,Tottenham Hotspur,2007
26,2.0,0.0,-2.0,A,Wigan Athletic,2007
27,0.0,0.0,0.0,H,Sunderland,2007
28,6.0,1.0,-5.0,A,Chelsea,2007
29,1.0,0.0,-1.0,H,Manchester United,2007
30,1.0,0.0,-1.0,A,Middlesbrough,2007
31,2.0,2.0,0.0,H,Fulham,2007
32,1.0,0.0,-1.0,A,Everton,2007
33,6.0,0.0,-6.0,H,Aston Villa,2007
34,2.0,1.0,-1.0,A,West Ham United,2007
35,6.0,2.0,-4.0,H,Arsenal,2007
36,3.0,1.0,-2.0,A,Blackburn Rovers,2007
37,4.0,0.0,-4.0,H,Reading,2007
