,concede,goal,margin,mode,opponent,season
0,0.0,3.0,3.0,A,Crystal Palace,2017
1,0.0,1.0,1.0,H,Newcastle United,2017
2,0.0,0.0,0.0,H,Southampton,2017
3,2.0,0.0,-2.0,A,West Ham United,2017
4,1.0,1.0,0.0,H,Leicester City,2017
5,0.0,0.0,-0.0,A,Burnley,2017
6,4.0,0.0,-4.0,H,Tottenham Hotspur,2017
7,2.0,0.0,-2.0,A,Swansea City,2017
8,1.0,2.0,1.0,H,Manchester United,2017
9,3.0,0.0,-3.0,A,Liverpool,2017
10,0.0,1.0,1.0,H,West Bromwich Albion,2017
11,4.0,0.0,-4.0,A,AFC Bournemouth,2017
12,2.0,1.0,-1.0,H,Manchester City,2017
13,5.0,0.0,-5.0,A,Arsenal,2017
14,2.0,0.0,-2.0,A,Everton,2017
15,0.0,2.0,2.0,H,Brighton and Hove Albion,2017
16,3.0,1.0,-2.0,H,Chelsea,2017
17,1.0,4.0,3.0,A,Watford,2017
18,1.0,1.0,-0.0,A,Southampton,2017
19,1.0,1.0,0.0,H,Stoke City,2017
20,0.0,0.0,0.0,H,Burnley,2017
21,3.0,0.0,-3.0,A,Leicester City,2017
22,4.0,1.0,-3.0,H,West Ham United,2017
23,2.0,0.0,-2.0,A,Stoke City,2017
24,3.0,0.0,-3.0,H,Liverpool,2017
25,2.0,0.0,-2.0,A,Manchester United,2017
26,1.0,4.0,3.0,H,AFC Bournemouth,2017
27,1.0,2.0,1.0,A,West Bromwich Albion,2017
28,2.0,0.0,-2.0,A,Tottenham Hotspur,2017
29,0.0,0.0,0.0,H,Swansea City,2017
30,2.0,0.0,-2.0,H,Crystal Palace,2017
31,1.0,0.0,-1.0,A,Newcastle United,2017
32,1.0,1.0,-0.0,A,Brighton and Hove Albion,2017
33,0.0,1.0,1.0,H,Watford,2017
34,2.0,0.0,-2.0,H,Everton,2017
35,0.0,0.0,-0.0,A,Manchester City,2017
36,1.0,1.0,-0.0,A,Chelsea,2017
37,1.0,0.0,-1.0,H,Arsenal,2017
