,concede,goal,margin,mode,opponent,season
0,1.0,2.0,1.0,H,Fulham,2008
1,1.0,1.0,-0.0,A,Blackburn Rovers,2008
2,5.0,0.0,-5.0,H,Wigan Athletic,2008
3,1.0,2.0,1.0,A,Newcastle United,2008
4,2.0,2.0,0.0,H,Everton,2008
5,1.0,2.0,1.0,A,Arsenal,2008
6,0.0,1.0,1.0,A,Tottenham Hotspur,2008
7,0.0,1.0,1.0,H,West Ham United,2008
8,0.0,3.0,3.0,A,West Bromwich Albion,2008
9,3.0,0.0,-3.0,H,Chelsea,2008
10,4.0,3.0,-1.0,A,Manchester United,2008
11,1.0,0.0,-1.0,H,Bolton Wanderers,2008
12,2.0,2.0,0.0,H,Manchester City,2008
13,2.0,2.0,-0.0,A,Portsmouth,2008
14,1.0,1.0,-0.0,A,Stoke City,2008
15,1.0,2.0,1.0,H,Middlesbrough,2008
16,2.0,2.0,-0.0,A,Liverpool,2008
17,4.0,1.0,-3.0,H,Sunderland,2008
18,5.0,1.0,-4.0,A,Manchester City,2008
19,1.0,0.0,-1.0,H,Aston Villa,2008
20,2.0,0.0,-2.0,A,Everton,2008
21,3.0,1.0,-2.0,H,Arsenal,2008
22,2.0,0.0,-2.0,A,West Ham United,2008
23,2.0,2.0,0.0,H,West Bromwich Albion,2008
24,0.0,0.0,-0.0,A,Chelsea,2008
25,2.0,1.0,-1.0,H,Tottenham Hotspur,2008
26,2.0,1.0,-1.0,H,Blackburn Rovers,2008
27,0.0,1.0,1.0,A,Fulham,2008
28,1.0,1.0,0.0,H,Newcastle United,2008
29,1.0,0.0,-1.0,A,Wigan Athletic,2008
30,0.0,0.0,0.0,H,Portsmouth,2008
31,3.0,1.0,-2.0,A,Middlesbrough,2008
32,1.0,0.0,-1.0,A,Sunderland,2008
33,3.0,1.0,-2.0,H,Liverpool,2008
34,1.0,0.0,-1.0,A,Aston Villa,2008
35,2.0,1.0,-1.0,H,Stoke City,2008
36,1.0,1.0,-0.0,A,Bolton Wanderers,2008
37,1.0,0.0,-1.0,H,Manchester United,2008
38,2.0,1.0,-1.0,A,Chelsea,2009
39,5.0,1.0,-4.0,H,Tottenham Hotspur,2009
40,0.0,1.0,1.0,H,Bolton Wanderers,2009
41,1.0,1.0,-0.0,A,Wolverhampton Wanderers,2009
42,4.0,1.0,-3.0,A,Sunderland,2009
43,1.0,0.0,-1.0,H,Birmingham City,2009
44,6.0,1.0,-5.0,A,Liverpool,2009
45,1.0,2.0,1.0,H,Wigan Athletic,2009
46,2.0,0.0,-2.0,A,Fulham,2009
47,0.0,0.0,0.0,H,Portsmouth,2009
48,2.0,0.0,-2.0,A,Burnley,2009
49,1.0,2.0,1.0,H,Stoke City,2009
50,3.0,3.0,0.0,H,West Ham United,2009
51,2.0,3.0,1.0,H,Everton,2009
52,1.0,1.0,-0.0,A,Manchester City,2009
53,3.0,0.0,-3.0,A,Aston Villa,2009
54,0.0,0.0,0.0,H,Blackburn Rovers,2009
55,3.0,0.0,-3.0,A,Arsenal,2009
56,3.0,1.0,-2.0,H,Manchester United,2009
57,2.0,2.0,-0.0,A,Bolton Wanderers,2009
58,0.0,0.0,-0.0,A,Tottenham Hotspur,2009
59,4.0,0.0,-4.0,A,Manchester United,2009
