,concede,goal,margin,mode,opponent,season
0,2.0,2.0,0.0,H,Everton,2014
1,2.0,0.0,-2.0,A,Chelsea,2014
2,1.0,1.0,0.0,H,Arsenal,2014
3,0.0,1.0,1.0,A,Stoke City,2014
4,3.0,5.0,2.0,H,Manchester United,2014
5,2.0,0.0,-2.0,A,Crystal Palace,2014
6,2.0,2.0,0.0,H,Burnley,2014
7,1.0,0.0,-1.0,A,Newcastle United,2014
8,2.0,0.0,-2.0,A,Swansea City,2014
9,1.0,0.0,-1.0,H,West Bromwich Albion,2014
10,2.0,0.0,-2.0,A,Southampton,2014
11,0.0,0.0,0.0,H,Sunderland,2014
12,3.0,2.0,-1.0,A,Queens Park Rangers,2014
13,3.0,1.0,-2.0,H,Liverpool,2014
14,2.0,1.0,-1.0,A,Aston Villa,2014
15,1.0,0.0,-1.0,H,Manchester City,2014
16,2.0,0.0,-2.0,A,West Ham United,2014
17,2.0,1.0,-1.0,H,Tottenham Hotspur,2014
18,0.0,1.0,1.0,A,Hull City,2014
19,2.0,2.0,-0.0,A,Liverpool,2014
20,0.0,1.0,1.0,H,Aston Villa,2014
21,1.0,0.0,-1.0,H,Stoke City,2014
22,3.0,1.0,-2.0,A,Manchester United,2014
23,1.0,0.0,-1.0,H,Crystal Palace,2014
24,2.0,1.0,-1.0,A,Arsenal,2014
25,2.0,2.0,-0.0,A,Everton,2014
26,2.0,0.0,-2.0,A,Manchester City,2014
27,0.0,0.0,0.0,H,Hull City,2014
28,4.0,3.0,-1.0,A,Tottenham Hotspur,2014
29,1.0,2.0,1.0,H,West Ham United,2014
30,2.0,3.0,1.0,A,West Bromwich Albion,2014
31,0.0,2.0,2.0,H,Swansea City,2014
32,0.0,1.0,1.0,A,Burnley,2014
33,3.0,1.0,-2.0,H,Chelsea,2014
34,0.0,3.0,3.0,H,Newcastle United,2014
35,0.0,2.0,2.0,H,Southampton,2014
36,0.0,0.0,-0.0,A,Sunderland,2014
37,1.0,5.0,4.0,H,Queens Park Rangers,2014
38,2.0,4.0,2.0,H,Sunderland,2015
39,1.0,2.0,1.0,A,West Ham United,2015
40,1.0,1.0,0.0,H,Tottenham Hotspur,2015
41,1.0,1.0,-0.0,A,AFC Bournemouth,2015
42,2.0,3.0,1.0,H,Aston Villa,2015
43,2.0,2.0,-0.0,A,Stoke City,2015
44,5.0,2.0,-3.0,H,Arsenal,2015
45,1.0,2.0,1.0,A,Norwich City,2015
46,2.0,2.0,-0.0,A,Southampton,2015
47,0.0,1.0,1.0,H,Crystal Palace,2015
48,2.0,3.0,1.0,A,West Bromwich Albion,2015
49,1.0,2.0,1.0,H,Watford,2015
50,0.0,3.0,3.0,A,Newcastle United,2015
51,1.0,1.0,0.0,H,Manchester United,2015
52,0.0,3.0,3.0,A,Swansea City,2015
53,1.0,2.0,1.0,H,Chelsea,2015
54,2.0,3.0,1.0,A,Everton,2015
55,1.0,0.0,-1.0,A,Liverpool,2015
56,0.0,0.0,0.0,H,Manchester City,2015
57,0.0,0.0,0.0,H,AFC Bournemouth,2015
58,0.0,1.0,1.0,A,Tottenham Hotspur,2015
59,1.0,1.0,-0.0,A,Aston Villa,2015
60,0.0,3.0,3.0,H,Stoke City,2015
61,0.0,2.0,2.0,H,Liverpool,2015
62,1.0,3.0,2.0,A,Manchester City,2015
