,concede,goal,margin,mode,opponent,season
0,1.0,1.0,-0.0,A,Wigan Athletic,2011
1,1.0,1.0,0.0,H,Stoke City,2011
2,3.0,1.0,-2.0,A,Chelsea,2011
3,1.0,0.0,-1.0,H,West Bromwich Albion,2011
4,1.0,2.0,1.0,A,Bolton Wanderers,2011
5,1.0,2.0,1.0,H,Sunderland,2011
6,2.0,0.0,-2.0,A,Manchester United,2011
7,1.0,3.0,2.0,H,Swansea City,2011
8,1.0,1.0,-0.0,A,Liverpool,2011
9,3.0,3.0,0.0,H,Blackburn Rovers,2011
10,3.0,2.0,-1.0,A,Aston Villa,2011
11,2.0,1.0,-1.0,H,Arsenal,2011
12,1.0,2.0,1.0,H,Queens Park Rangers,2011
13,5.0,1.0,-4.0,A,Manchester City,2011
14,2.0,4.0,2.0,H,Newcastle United,2011
15,1.0,1.0,-0.0,A,Everton,2011
16,2.0,2.0,-0.0,A,Wolverhampton Wanderers,2011
17,2.0,0.0,-2.0,H,Tottenham Hotspur,2011
18,1.0,1.0,0.0,H,Fulham,2011
19,1.0,2.0,1.0,A,Queens Park Rangers,2011
20,1.0,2.0,1.0,A,West Bromwich Albion,2011
21,0.0,0.0,0.0,H,Chelsea,2011
22,3.0,0.0,-3.0,A,Sunderland,2011
23,0.0,2.0,2.0,H,Bolton Wanderers,2011
24,2.0,3.0,1.0,A,Swansea City,2011
25,2.0,1.0,-1.0,H,Manchester United,2011
26,1.0,0.0,-1.0,A,Stoke City,2011
27,1.0,1.0,0.0,H,Wigan Athletic,2011
28,1.0,0.0,-1.0,A,Newcastle United,2011
29,1.0,2.0,1.0,H,Wolverhampton Wanderers,2011
30,2.0,1.0,-1.0,A,Fulham,2011
31,2.0,2.0,0.0,H,Everton,2011
32,1.0,2.0,1.0,A,Tottenham Hotspur,2011
33,6.0,1.0,-5.0,H,Manchester City,2011
34,2.0,0.0,-2.0,A,Blackburn Rovers,2011
35,3.0,0.0,-3.0,H,Liverpool,2011
36,3.0,3.0,-0.0,A,Arsenal,2011
37,0.0,2.0,2.0,H,Aston Villa,2011
38,5.0,0.0,-5.0,A,Fulham,2012
39,1.0,1.0,0.0,H,Queens Park Rangers,2012
40,1.0,1.0,-0.0,A,Tottenham Hotspur,2012
41,0.0,0.0,0.0,H,West Ham United,2012
42,1.0,0.0,-1.0,A,Newcastle United,2012
43,5.0,2.0,-3.0,H,Liverpool,2012
