,concede,goal,margin,mode,opponent,season
0,4.0,0.0,-4.0,H,Bolton Wanderers,2011
1,0.0,1.0,1.0,A,Everton,2011
2,2.0,0.0,-2.0,A,Wigan Athletic,2011
3,0.0,0.0,0.0,H,Newcastle United,2011
4,0.0,3.0,3.0,A,Wolverhampton Wanderers,2011
5,1.0,1.0,0.0,H,Aston Villa,2011
6,6.0,0.0,-6.0,A,Fulham,2011
7,1.0,1.0,0.0,H,Blackburn Rovers,2011
8,0.0,1.0,1.0,H,Chelsea,2011
9,3.0,1.0,-2.0,A,Tottenham Hotspur,2011
10,3.0,2.0,-1.0,H,Manchester City,2011
11,2.0,3.0,1.0,A,Stoke City,2011
12,2.0,1.0,-1.0,A,Norwich City,2011
13,1.0,1.0,0.0,H,West Bromwich Albion,2011
14,1.0,0.0,-1.0,A,Liverpool,2011
15,2.0,0.0,-2.0,H,Manchester United,2011
16,3.0,2.0,-1.0,H,Sunderland,2011
17,1.0,1.0,-0.0,A,Swansea City,2011
18,1.0,0.0,-1.0,A,Arsenal,2011
19,2.0,1.0,-1.0,H,Norwich City,2011
20,1.0,0.0,-1.0,A,Newcastle United,2011
21,1.0,3.0,2.0,H,Wigan Athletic,2011
22,2.0,2.0,-0.0,A,Aston Villa,2011
23,2.0,1.0,-1.0,H,Wolverhampton Wanderers,2011
24,3.0,2.0,-1.0,A,Blackburn Rovers,2011
25,1.0,0.0,-1.0,H,Fulham,2011
26,1.0,1.0,0.0,H,Everton,2011
27,2.0,1.0,-1.0,A,Bolton Wanderers,2011
28,2.0,3.0,1.0,H,Liverpool,2011
29,3.0,1.0,-2.0,A,Sunderland,2011
30,1.0,2.0,1.0,H,Arsenal,2011
31,2.0,0.0,-2.0,A,Manchester United,2011
32,0.0,3.0,3.0,H,Swansea City,2011
33,1.0,0.0,-1.0,A,West Bromwich Albion,2011
34,0.0,1.0,1.0,H,Tottenham Hotspur,2011
35,6.0,1.0,-5.0,A,Chelsea,2011
36,0.0,1.0,1.0,H,Stoke City,2011
37,3.0,2.0,-1.0,A,Manchester City,2011
38,5.0,0.0,-5.0,H,Swansea City,2012
39,1.0,1.0,-0.0,A,Norwich City,2012
40,3.0,1.0,-2.0,A,Manchester City,2012
41,0.0,0.0,0.0,H,Chelsea,2012
42,2.0,1.0,-1.0,A,Tottenham Hotspur,2012
43,2.0,1.0,-1.0,H,West Ham United,2012
44,3.0,2.0,-1.0,A,West Bromwich Albion,2012
45,1.0,1.0,0.0,H,Everton,2012
46,1.0,0.0,-1.0,A,Arsenal,2012
47,1.0,1.0,0.0,H,Reading,2012
48,1.0,0.0,-1.0,A,Stoke City,2012
49,3.0,1.0,-2.0,H,Southampton,2012
50,3.0,1.0,-2.0,A,Manchester United,2012
51,0.0,0.0,-0.0,A,Sunderland,2012
52,1.0,1.0,0.0,H,Aston Villa,2012
53,2.0,2.0,-0.0,A,Wigan Athletic,2012
54,1.0,2.0,1.0,H,Fulham,2012
55,1.0,0.0,-1.0,A,Newcastle United,2012
56,2.0,1.0,-1.0,H,West Bromwich Albion,2012
57,3.0,0.0,-3.0,H,Liverpool,2012
58,0.0,1.0,1.0,A,Chelsea,2012
59,0.0,0.0,0.0,H,Tottenham Hotspur,2012
60,1.0,1.0,-0.0,A,West Ham United,2012
61,0.0,0.0,0.0,H,Manchester City,2012
62,0.0,0.0,0.0,H,Norwich City,2012
63,4.0,1.0,-3.0,A,Swansea City,2012
64,2.0,0.0,-2.0,H,Manchester United,2012
65,1.0,2.0,1.0,A,Southampton,2012
66,1.0,3.0,2.0,H,Sunderland,2012
67,3.0,2.0,-1.0,A,Aston Villa,2012
68,3.0,2.0,-1.0,A,Fulham,2012
