,concede,goal,margin,mode,opponent,season
0,2.0,3.0,1.0,H,Middlesbrough,2006
1,2.0,1.0,-1.0,A,Aston Villa,2006
2,1.0,0.0,-1.0,A,Wigan Athletic,2006
3,0.0,1.0,1.0,H,Manchester City,2006
4,1.0,2.0,1.0,A,Sheffield United,2006
5,1.0,1.0,0.0,H,Manchester United,2006
6,0.0,1.0,1.0,A,West Ham United,2006
7,1.0,0.0,-1.0,H,Chelsea,2006
8,4.0,0.0,-4.0,H,Arsenal,2006
9,3.0,1.0,-2.0,A,Portsmouth,2006
10,2.0,0.0,-2.0,A,Liverpool,2006
11,1.0,3.0,2.0,H,Tottenham Hotspur,2006
12,0.0,2.0,2.0,H,Charlton Athletic,2006
13,0.0,1.0,1.0,A,Fulham,2006
14,0.0,1.0,1.0,H,Bolton Wanderers,2006
15,3.0,2.0,-1.0,A,Newcastle United,2006
16,0.0,0.0,-0.0,A,Watford,2006
17,2.0,1.0,-1.0,H,Blackburn Rovers,2006
18,2.0,0.0,-2.0,H,Everton,2006
19,2.0,2.0,-0.0,A,Chelsea,2006
20,3.0,2.0,-1.0,A,Manchester United,2006
21,0.0,6.0,6.0,H,West Ham United,2006
22,1.0,1.0,-0.0,A,Everton,2006
23,1.0,3.0,2.0,H,Sheffield United,2006
24,2.0,3.0,1.0,H,Wigan Athletic,2006
25,0.0,2.0,2.0,A,Manchester City,2006
26,0.0,2.0,2.0,H,Aston Villa,2006
27,2.0,1.0,-1.0,A,Middlesbrough,2006
28,2.0,1.0,-1.0,A,Arsenal,2006
29,0.0,0.0,0.0,H,Portsmouth,2006
30,1.0,0.0,-1.0,A,Tottenham Hotspur,2006
31,2.0,1.0,-1.0,H,Liverpool,2006
32,0.0,0.0,-0.0,A,Charlton Athletic,2006
33,0.0,1.0,1.0,H,Fulham,2006
34,1.0,3.0,2.0,A,Bolton Wanderers,2006
35,0.0,1.0,1.0,H,Newcastle United,2006
36,2.0,0.0,-2.0,H,Watford,2006
37,3.0,3.0,-0.0,A,Blackburn Rovers,2006
38,0.0,0.0,-0.0,A,Manchester United,2007
39,2.0,1.0,-1.0,H,Chelsea,2007
40,0.0,1.0,1.0,H,Everton,2007
41,3.0,0.0,-3.0,A,Bolton Wanderers,2007
42,3.0,0.0,-3.0,H,West Ham United,2007
43,2.0,1.0,-1.0,A,Sunderland,2007
44,1.0,2.0,1.0,H,Wigan Athletic,2007
45,7.0,4.0,-3.0,A,Portsmouth,2007
46,0.0,1.0,1.0,H,Derby County,2007
47,4.0,2.0,-2.0,A,Blackburn Rovers,2007
48,1.0,2.0,1.0,H,Newcastle United,2007
49,3.0,1.0,-2.0,A,Fulham,2007
50,3.0,1.0,-2.0,H,Arsenal,2007
51,2.0,1.0,-1.0,A,Manchester City,2007
52,1.0,1.0,0.0,H,Middlesbrough,2007
53,1.0,3.0,2.0,H,Liverpool,2007
54,1.0,1.0,-0.0,A,Birmingham City,2007
55,1.0,2.0,1.0,H,Sunderland,2007
56,1.0,1.0,-0.0,A,West Ham United,2007
57,6.0,4.0,-2.0,A,Tottenham Hotspur,2007
58,2.0,0.0,-2.0,H,Portsmouth,2007
59,3.0,1.0,-2.0,A,Aston Villa,2007
60,2.0,0.0,-2.0,H,Manchester United,2007
61,1.0,0.0,-1.0,A,Chelsea,2007
62,2.0,0.0,-2.0,H,Bolton Wanderers,2007
63,1.0,0.0,-1.0,A,Everton,2007
64,2.0,1.0,-1.0,H,Aston Villa,2007
65,0.0,1.0,1.0,A,Middlesbrough,2007
66,0.0,2.0,2.0,H,Manchester City,2007
67,2.0,1.0,-1.0,A,Liverpool,2007
68,1.0,2.0,1.0,H,Birmingham City,2007
69,0.0,0.0,0.0,H,Blackburn Rovers,2007
70,3.0,0.0,-3.0,A,Newcastle United,2007
71,2.0,0.0,-2.0,H,Fulham,2007
72,2.0,0.0,-2.0,A,Arsenal,2007
73,0.0,0.0,-0.0,A,Wigan Athletic,2007
74,1.0,0.0,-1.0,H,Tottenham Hotspur,2007
75,0.0,4.0,4.0,A,Derby County,2007
76,1.0,1.0,0.0,H,Stoke City,2012
77,4.0,2.0,-2.0,A,Chelsea,2012
78,3.0,1.0,-2.0,H,Tottenham Hotspur,2012
79,1.0,0.0,-1.0,A,West Bromwich Albion,2012
80,2.0,2.0,0.0,H,Newcastle United,2012
81,2.0,2.0,-0.0,A,Swansea City,2012
82,1.0,0.0,-1.0,A,Liverpool,2012
83,3.0,3.0,0.0,H,Fulham,2012
84,1.0,1.0,-0.0,A,Queens Park Rangers,2012
85,0.0,0.0,0.0,H,Norwich City,2012
86,1.0,2.0,1.0,H,Everton,2012
87,3.0,2.0,-1.0,A,Wigan Athletic,2012
88,1.0,0.0,-1.0,A,Aston Villa,2012
89,4.0,3.0,-1.0,H,Manchester United,2012
90,1.0,0.0,-1.0,A,Southampton,2012
91,3.0,0.0,-3.0,A,Sunderland,2012
92,5.0,2.0,-3.0,H,Arsenal,2012
93,1.0,0.0,-1.0,A,Manchester City,2012
94,0.0,0.0,0.0,H,Swansea City,2012
95,0.0,1.0,1.0,H,West Ham United,2012
96,3.0,1.0,-2.0,A,Tottenham Hotspur,2012
97,2.0,3.0,1.0,H,West Bromwich Albion,2012
98,1.0,2.0,1.0,A,Newcastle United,2012
99,2.0,2.0,0.0,H,Chelsea,2012
100,1.0,2.0,1.0,H,Sunderland,2012
101,2.0,1.0,-1.0,A,Stoke City,2012
102,3.0,0.0,-3.0,H,Wigan Athletic,2012
103,3.0,1.0,-2.0,A,Everton,2012
104,2.0,1.0,-1.0,H,Aston Villa,2012
105,1.0,0.0,-1.0,A,Manchester United,2012
106,4.0,1.0,-3.0,A,Arsenal,2012
107,2.0,0.0,-2.0,H,Southampton,2012
108,0.0,0.0,0.0,H,Liverpool,2012
109,2.0,1.0,-1.0,A,Norwich City,2012
110,0.0,0.0,0.0,H,Queens Park Rangers,2012
111,2.0,4.0,2.0,A,Fulham,2012
112,2.0,0.0,-2.0,H,Manchester City,2012
113,4.0,2.0,-2.0,A,West Ham United,2012
