,concede,goal,margin,mode,opponent,season
0,3.0,2.0,-1.0,A,Manchester City,2012
1,2.0,0.0,-2.0,H,Wigan Athletic,2012
2,3.0,2.0,-1.0,H,Manchester United,2012
3,6.0,1.0,-5.0,A,Arsenal,2012
4,1.0,4.0,3.0,H,Aston Villa,2012
5,3.0,1.0,-2.0,A,Everton,2012
6,2.0,2.0,0.0,H,Fulham,2012
7,4.0,1.0,-3.0,A,West Ham United,2012
8,2.0,1.0,-1.0,H,Tottenham Hotspur,2012
9,2.0,0.0,-2.0,A,West Bromwich Albion,2012
10,1.0,1.0,0.0,H,Swansea City,2012
11,1.0,3.0,2.0,A,Queens Park Rangers,2012
12,0.0,2.0,2.0,H,Newcastle United,2012
13,1.0,1.0,0.0,H,Norwich City,2012
14,1.0,0.0,-1.0,A,Liverpool,2012
15,0.0,1.0,1.0,H,Reading,2012
16,1.0,0.0,-1.0,H,Sunderland,2012
17,1.0,1.0,-0.0,A,Fulham,2012
18,3.0,3.0,-0.0,A,Stoke City,2012
19,1.0,1.0,0.0,H,Arsenal,2012
20,0.0,1.0,1.0,A,Aston Villa,2012
21,2.0,2.0,-0.0,A,Chelsea,2012
22,0.0,0.0,0.0,H,Everton,2012
23,2.0,1.0,-1.0,A,Manchester United,2012
24,2.0,2.0,-0.0,A,Wigan Athletic,2012
25,1.0,3.0,2.0,H,Manchester City,2012
26,4.0,2.0,-2.0,A,Newcastle United,2012
27,2.0,1.0,-1.0,H,Queens Park Rangers,2012
28,0.0,0.0,-0.0,A,Norwich City,2012
29,1.0,3.0,2.0,H,Liverpool,2012
30,1.0,2.0,1.0,H,Chelsea,2012
31,0.0,2.0,2.0,A,Reading,2012
32,1.0,1.0,0.0,H,West Ham United,2012
33,0.0,0.0,-0.0,A,Swansea City,2012
34,3.0,0.0,-3.0,H,West Bromwich Albion,2012
35,1.0,0.0,-1.0,A,Tottenham Hotspur,2012
36,1.0,1.0,-0.0,A,Sunderland,2012
37,1.0,1.0,0.0,H,Stoke City,2012
38,0.0,1.0,1.0,A,West Bromwich Albion,2013
39,1.0,1.0,0.0,H,Sunderland,2013
40,1.0,0.0,-1.0,A,Norwich City,2013
41,0.0,0.0,0.0,H,West Ham United,2013
42,0.0,1.0,1.0,A,Liverpool,2013
43,0.0,2.0,2.0,H,Crystal Palace,2013
44,0.0,2.0,2.0,H,Swansea City,2013
45,1.0,1.0,-0.0,A,Manchester United,2013
46,0.0,2.0,2.0,H,Fulham,2013
47,1.0,1.0,-0.0,A,Stoke City,2013
48,1.0,4.0,3.0,H,Hull City,2013
49,2.0,0.0,-2.0,A,Arsenal,2013
50,3.0,1.0,-2.0,A,Chelsea,2013
51,3.0,2.0,-1.0,H,Aston Villa,2013
52,1.0,1.0,0.0,H,Manchester City,2013
53,1.0,1.0,-0.0,A,Newcastle United,2013
54,3.0,2.0,-1.0,H,Tottenham Hotspur,2013
55,0.0,3.0,3.0,A,Cardiff City,2013
56,2.0,1.0,-1.0,A,Everton,2013
57,3.0,0.0,-3.0,H,Chelsea,2013
58,0.0,1.0,1.0,H,West Bromwich Albion,2013
59,2.0,2.0,-0.0,A,Sunderland,2013
60,2.0,2.0,0.0,H,Arsenal,2013
61,0.0,3.0,3.0,A,Fulham,2013
62,2.0,2.0,0.0,H,Stoke City,2013
63,0.0,1.0,1.0,A,Hull City,2013
64,3.0,1.0,-2.0,A,West Ham United,2013
65,3.0,0.0,-3.0,H,Liverpool,2013
66,0.0,1.0,1.0,A,Crystal Palace,2013
67,2.0,4.0,2.0,H,Norwich City,2013
68,3.0,2.0,-1.0,A,Tottenham Hotspur,2013
69,0.0,4.0,4.0,H,Newcastle United,2013
70,4.0,1.0,-3.0,A,Manchester City,2013
71,1.0,0.0,-1.0,H,Cardiff City,2013
72,0.0,0.0,-0.0,A,Aston Villa,2013
73,0.0,2.0,2.0,H,Everton,2013
74,0.0,1.0,1.0,A,Swansea City,2013
75,1.0,1.0,0.0,H,Manchester United,2013
76,2.0,1.0,-1.0,A,Liverpool,2014
77,0.0,0.0,0.0,H,West Bromwich Albion,2014
78,1.0,3.0,2.0,A,West Ham United,2014
79,0.0,4.0,4.0,H,Newcastle United,2014
80,0.0,1.0,1.0,A,Swansea City,2014
81,1.0,2.0,1.0,H,Queens Park Rangers,2014
82,1.0,0.0,-1.0,A,Tottenham Hotspur,2014
83,0.0,8.0,8.0,H,Sunderland,2014
84,0.0,1.0,1.0,H,Stoke City,2014
85,0.0,1.0,1.0,A,Hull City,2014
86,0.0,2.0,2.0,H,Leicester City,2014
87,1.0,1.0,-0.0,A,Aston Villa,2014
88,3.0,0.0,-3.0,H,Manchester City,2014
89,1.0,0.0,-1.0,A,Arsenal,2014
90,2.0,1.0,-1.0,H,Manchester United,2014
91,1.0,0.0,-1.0,A,Burnley,2014
92,0.0,3.0,3.0,H,Everton,2014
93,1.0,3.0,2.0,A,Crystal Palace,2014
94,1.0,1.0,0.0,H,Chelsea,2014
95,0.0,2.0,2.0,H,Arsenal,2014
96,0.0,1.0,1.0,A,Manchester United,2014
97,1.0,2.0,1.0,A,Newcastle United,2014
98,1.0,0.0,-1.0,H,Swansea City,2014
99,0.0,1.0,1.0,A,Queens Park Rangers,2014
100,0.0,0.0,0.0,H,West Ham United,2014
101,2.0,0.0,-2.0,H,Liverpool,2014
102,1.0,0.0,-1.0,A,West Bromwich Albion,2014
103,0.0,1.0,1.0,H,Crystal Palace,2014
