,concede,goal,margin,mode,opponent,season
0,3.0,1.0,-2.0,A,Bolton Wanderers,2008
1,2.0,3.0,1.0,H,Aston Villa,2008
2,2.0,1.0,-1.0,A,Middlesbrough,2008
3,3.0,2.0,-1.0,H,Everton,2008
4,0.0,0.0,-0.0,A,Liverpool,2008
5,2.0,0.0,-2.0,H,Chelsea,2008
6,2.0,1.0,-1.0,A,Portsmouth,2008
7,1.0,2.0,1.0,H,Tottenham Hotspur,2008
8,3.0,0.0,-3.0,A,Manchester City,2008
9,0.0,1.0,1.0,H,Sunderland,2008
10,1.0,2.0,1.0,H,Arsenal,2008
11,0.0,0.0,-0.0,A,Wigan Athletic,2008
12,5.0,0.0,-5.0,A,Manchester United,2008
13,0.0,1.0,1.0,H,West Bromwich Albion,2008
14,1.0,1.0,0.0,H,Hull City,2008
15,2.0,2.0,-0.0,A,Newcastle United,2008
16,0.0,0.0,0.0,H,Fulham,2008
17,3.0,0.0,-3.0,A,Blackburn Rovers,2008
18,1.0,0.0,-1.0,H,Manchester United,2008
19,2.0,1.0,-1.0,A,West Ham United,2008
20,0.0,0.0,0.0,H,Liverpool,2008
21,2.0,1.0,-1.0,A,Chelsea,2008
22,3.0,1.0,-2.0,A,Tottenham Hotspur,2008
23,0.0,1.0,1.0,H,Manchester City,2008
24,2.0,0.0,-2.0,A,Sunderland,2008
25,2.0,2.0,0.0,H,Portsmouth,2008
26,2.0,2.0,-0.0,A,Aston Villa,2008
27,0.0,2.0,2.0,H,Bolton Wanderers,2008
28,3.0,1.0,-2.0,A,Everton,2008
29,0.0,1.0,1.0,H,Middlesbrough,2008
30,0.0,2.0,2.0,A,West Bromwich Albion,2008
31,1.0,1.0,0.0,H,Newcastle United,2008
32,0.0,1.0,1.0,H,Blackburn Rovers,2008
33,1.0,0.0,-1.0,A,Fulham,2008
34,1.0,0.0,-1.0,H,West Ham United,2008
35,1.0,2.0,1.0,A,Hull City,2008
36,0.0,2.0,2.0,H,Wigan Athletic,2008
37,4.0,1.0,-3.0,A,Arsenal,2008
38,0.0,2.0,2.0,H,Burnley,2009
39,4.0,0.0,-4.0,A,Liverpool,2009
40,0.0,0.0,-0.0,A,Birmingham City,2009
41,0.0,1.0,1.0,H,Sunderland,2009
42,2.0,1.0,-1.0,H,Chelsea,2009
43,1.0,1.0,-0.0,A,Bolton Wanderers,2009
44,2.0,0.0,-2.0,H,Manchester United,2009
45,1.0,1.0,-0.0,A,Everton,2009
46,1.0,2.0,1.0,H,West Ham United,2009
47,0.0,1.0,1.0,A,Tottenham Hotspur,2009
48,2.0,2.0,0.0,H,Wolverhampton Wanderers,2009
49,2.0,1.0,-1.0,A,Hull City,2009
50,0.0,1.0,1.0,H,Portsmouth,2009
51,0.0,0.0,-0.0,A,Blackburn Rovers,2009
52,2.0,0.0,-2.0,A,Arsenal,2009
53,2.0,2.0,0.0,H,Wigan Athletic,2009
54,1.0,0.0,-1.0,A,Aston Villa,2009
55,2.0,0.0,-2.0,A,Manchester City,2009
56,1.0,0.0,-1.0,H,Birmingham City,2009
57,2.0,3.0,1.0,H,Fulham,2009
58,1.0,1.0,0.0,H,Liverpool,2009
59,0.0,0.0,-0.0,A,Sunderland,2009
60,0.0,3.0,3.0,H,Blackburn Rovers,2009
61,1.0,1.0,-0.0,A,Wigan Athletic,2009
62,1.0,1.0,0.0,H,Manchester City,2009
63,1.0,2.0,1.0,A,Portsmouth,2009
64,3.0,1.0,-2.0,H,Arsenal,2009
65,1.0,1.0,-0.0,A,Burnley,2009
66,0.0,0.0,0.0,H,Aston Villa,2009
67,2.0,1.0,-1.0,H,Tottenham Hotspur,2009
68,0.0,1.0,1.0,A,West Ham United,2009
69,0.0,2.0,2.0,H,Hull City,2009
70,0.0,0.0,-0.0,A,Wolverhampton Wanderers,2009
71,2.0,1.0,-1.0,H,Bolton Wanderers,2009
72,7.0,0.0,-7.0,A,Chelsea,2009
73,0.0,0.0,0.0,H,Everton,2009
74,0.0,1.0,1.0,A,Fulham,2009
75,4.0,0.0,-4.0,A,Manchester United,2009
76,2.0,1.0,-1.0,A,Wolverhampton Wanderers,2010
77,2.0,1.0,-1.0,H,Tottenham Hotspur,2010
78,2.0,0.0,-2.0,A,Chelsea,2010
79,1.0,2.0,1.0,H,Aston Villa,2010
80,1.0,1.0,0.0,H,West Ham United,2010
81,1.0,2.0,1.0,A,Newcastle United,2010
82,0.0,1.0,1.0,H,Blackburn Rovers,2010
83,2.0,1.0,-1.0,A,Bolton Wanderers,2010
84,2.0,1.0,-1.0,H,Manchester United,2010
85,1.0,0.0,-1.0,A,Everton,2010
86,2.0,0.0,-2.0,A,Sunderland,2010
87,2.0,3.0,1.0,H,Birmingham City,2010
88,0.0,2.0,2.0,H,Liverpool,2010
89,0.0,3.0,3.0,A,West Bromwich Albion,2010
90,1.0,1.0,0.0,H,Manchester City,2010
91,2.0,2.0,-0.0,A,Wigan Athletic,2010
92,1.0,0.0,-1.0,H,Blackpool,2010
93,0.0,2.0,2.0,A,Blackburn Rovers,2010
94,2.0,0.0,-2.0,H,Fulham,2010
95,0.0,2.0,2.0,H,Everton,2010
96,2.0,1.0,-1.0,A,Manchester United,2010
97,0.0,2.0,2.0,H,Bolton Wanderers,2010
98,2.0,0.0,-2.0,A,Fulham,2010
99,2.0,0.0,-2.0,A,Liverpool,2010
100,2.0,3.0,1.0,H,Sunderland,2010
101,1.0,0.0,-1.0,A,Birmingham City,2010
102,1.0,0.0,-1.0,A,Arsenal,2010
103,1.0,1.0,0.0,H,West Bromwich Albion,2010
104,3.0,0.0,-3.0,A,West Ham United,2010
105,0.0,4.0,4.0,H,Newcastle United,2010
106,1.0,1.0,0.0,H,Chelsea,2010
107,3.0,2.0,-1.0,A,Tottenham Hotspur,2010
108,1.0,1.0,-0.0,A,Aston Villa,2010
109,0.0,3.0,3.0,H,Wolverhampton Wanderers,2010
110,0.0,0.0,-0.0,A,Blackpool,2010
111,1.0,3.0,2.0,H,Arsenal,2010
112,3.0,0.0,-3.0,A,Manchester City,2010
113,1.0,0.0,-1.0,H,Wigan Athletic,2010
114,0.0,0.0,0.0,H,Chelsea,2011
115,1.0,1.0,-0.0,A,Norwich City,2011
116,0.0,1.0,1.0,A,West Bromwich Albion,2011
117,0.0,1.0,1.0,H,Liverpool,2011
118,4.0,0.0,-4.0,A,Sunderland,2011
119,1.0,1.0,0.0,H,Manchester United,2011
120,2.0,0.0,-2.0,A,Swansea City,2011
121,0.0,2.0,2.0,H,Fulham,2011
122,3.0,1.0,-2.0,A,Arsenal,2011
123,3.0,1.0,-2.0,H,Newcastle United,2011
124,5.0,0.0,-5.0,A,Bolton Wanderers,2011
125,3.0,2.0,-1.0,H,Queens Park Rangers,2011
126,1.0,3.0,2.0,H,Blackburn Rovers,2011
127,0.0,1.0,1.0,A,Everton,2011
128,1.0,2.0,1.0,H,Tottenham Hotspur,2011
129,1.0,2.0,1.0,A,Wolverhampton Wanderers,2011
130,3.0,0.0,-3.0,A,Manchester City,2011
131,0.0,0.0,0.0,H,Aston Villa,2011
132,2.0,2.0,0.0,H,Wigan Athletic,2011
133,1.0,2.0,1.0,A,Blackburn Rovers,2011
134,0.0,0.0,-0.0,A,Liverpool,2011
135,2.0,1.0,-1.0,H,West Bromwich Albion,2011
136,2.0,0.0,-2.0,A,Manchester United,2011
137,1.0,0.0,-1.0,H,Sunderland,2011
138,2.0,1.0,-1.0,A,Fulham,2011
139,0.0,2.0,2.0,H,Swansea City,2011
140,0.0,1.0,1.0,H,Norwich City,2011
141,1.0,0.0,-1.0,A,Chelsea,2011
142,1.0,1.0,-0.0,A,Tottenham Hotspur,2011
143,1.0,1.0,0.0,H,Manchester City,2011
144,2.0,0.0,-2.0,A,Wigan Athletic,2011
145,1.0,2.0,1.0,H,Wolverhampton Wanderers,2011
146,1.0,1.0,-0.0,A,Aston Villa,2011
147,3.0,0.0,-3.0,A,Newcastle United,2011
148,1.0,1.0,0.0,H,Arsenal,2011
149,1.0,1.0,0.0,H,Everton,2011
150,1.0,0.0,-1.0,A,Queens Park Rangers,2011
151,2.0,2.0,0.0,H,Bolton Wanderers,2011
152,1.0,1.0,-0.0,A,Reading,2012
153,0.0,0.0,0.0,H,Arsenal,2012
154,2.0,2.0,-0.0,A,Wigan Athletic,2012
155,1.0,1.0,0.0,H,Manchester City,2012
156,1.0,0.0,-1.0,A,Chelsea,2012
157,0.0,2.0,2.0,H,Swansea City,2012
158,0.0,0.0,-0.0,A,Liverpool,2012
159,4.0,2.0,-2.0,A,Manchester United,2012
160,0.0,0.0,0.0,H,Sunderland,2012
161,1.0,0.0,-1.0,A,Norwich City,2012
162,0.0,1.0,1.0,H,Queens Park Rangers,2012
163,1.0,1.0,-0.0,A,West Ham United,2012
164,0.0,1.0,1.0,H,Fulham,2012
165,1.0,2.0,1.0,H,Newcastle United,2012
166,0.0,1.0,1.0,A,West Bromwich Albion,2012
167,0.0,0.0,-0.0,A,Aston Villa,2012
168,1.0,1.0,0.0,H,Everton,2012
169,0.0,0.0,-0.0,A,Tottenham Hotspur,2012
170,1.0,3.0,2.0,H,Liverpool,2012
171,3.0,3.0,0.0,H,Southampton,2012
172,3.0,0.0,-3.0,A,Manchester City,2012
173,4.0,0.0,-4.0,H,Chelsea,2012
174,3.0,1.0,-2.0,A,Swansea City,2012
175,2.0,2.0,0.0,H,Wigan Athletic,2012
176,1.0,0.0,-1.0,A,Arsenal,2012
177,1.0,2.0,1.0,H,Reading,2012
178,1.0,0.0,-1.0,A,Fulham,2012
179,1.0,0.0,-1.0,H,West Ham United,2012
180,2.0,1.0,-1.0,A,Newcastle United,2012
181,0.0,0.0,0.0,H,West Bromwich Albion,2012
182,1.0,0.0,-1.0,A,Everton,2012
183,3.0,1.0,-2.0,H,Aston Villa,2012
184,2.0,0.0,-2.0,H,Manchester United,2012
185,0.0,2.0,2.0,A,Queens Park Rangers,2012
186,0.0,1.0,1.0,H,Norwich City,2012
187,1.0,1.0,-0.0,A,Sunderland,2012
188,2.0,1.0,-1.0,H,Tottenham Hotspur,2012
189,1.0,1.0,-0.0,A,Southampton,2012
190,1.0,0.0,-1.0,A,Liverpool,2013
191,1.0,2.0,1.0,H,Crystal Palace,2013
192,0.0,1.0,1.0,A,West Ham United,2013
193,0.0,0.0,0.0,H,Manchester City,2013
194,3.0,1.0,-2.0,A,Arsenal,2013
195,1.0,0.0,-1.0,H,Norwich City,2013
196,1.0,0.0,-1.0,A,Fulham,2013
197,0.0,0.0,0.0,H,West Bromwich Albion,2013
198,3.0,2.0,-1.0,A,Manchester United,2013
199,1.0,1.0,0.0,H,Southampton,2013
200,3.0,3.0,-0.0,A,Swansea City,2013
201,0.0,2.0,2.0,H,Sunderland,2013
202,4.0,0.0,-4.0,A,Everton,2013
203,0.0,0.0,0.0,H,Cardiff City,2013
204,2.0,3.0,1.0,H,Chelsea,2013
205,0.0,0.0,-0.0,A,Hull City,2013
206,1.0,2.0,1.0,H,Aston Villa,2013
207,5.0,1.0,-4.0,A,Newcastle United,2013
208,3.0,0.0,-3.0,A,Tottenham Hotspur,2013
209,1.0,1.0,0.0,H,Everton,2013
210,5.0,3.0,-2.0,H,Liverpool,2013
211,1.0,0.0,-1.0,A,Crystal Palace,2013
212,1.0,0.0,-1.0,A,Sunderland,2013
213,1.0,2.0,1.0,H,Manchester United,2013
214,2.0,2.0,-0.0,A,Southampton,2013
215,1.0,1.0,0.0,H,Swansea City,2013
216,1.0,0.0,-1.0,A,Manchester City,2013
217,0.0,1.0,1.0,H,Arsenal,2013
218,1.0,1.0,-0.0,A,Norwich City,2013
219,1.0,3.0,2.0,H,West Ham United,2013
220,1.0,4.0,3.0,A,Aston Villa,2013
221,0.0,1.0,1.0,H,Hull City,2013
222,3.0,0.0,-3.0,A,Chelsea,2013
223,0.0,1.0,1.0,H,Newcastle United,2013
224,1.0,1.0,-0.0,A,Cardiff City,2013
225,1.0,0.0,-1.0,H,Tottenham Hotspur,2013
226,1.0,4.0,3.0,H,Fulham,2013
227,1.0,2.0,1.0,A,West Bromwich Albion,2013
228,1.0,0.0,-1.0,H,Aston Villa,2014
229,1.0,1.0,-0.0,A,Hull City,2014
230,0.0,1.0,1.0,A,Manchester City,2014
231,1.0,0.0,-1.0,H,Leicester City,2014
232,2.0,2.0,-0.0,A,Queens Park Rangers,2014
233,0.0,1.0,1.0,H,Newcastle United,2014
234,3.0,1.0,-2.0,A,Sunderland,2014
235,1.0,2.0,1.0,H,Swansea City,2014
236,1.0,0.0,-1.0,A,Southampton,2014
237,2.0,2.0,0.0,H,West Ham United,2014
238,1.0,2.0,1.0,A,Tottenham Hotspur,2014
239,2.0,1.0,-1.0,H,Burnley,2014
240,1.0,0.0,-1.0,A,Liverpool,2014
241,2.0,1.0,-1.0,A,Manchester United,2014
242,2.0,3.0,1.0,H,Arsenal,2014
243,1.0,1.0,-0.0,A,Crystal Palace,2014
244,2.0,0.0,-2.0,H,Chelsea,2014
245,0.0,1.0,1.0,A,Everton,2014
246,0.0,2.0,2.0,H,West Bromwich Albion,2014
247,1.0,1.0,0.0,H,Manchester United,2014
248,3.0,0.0,-3.0,A,Arsenal,2014
249,0.0,1.0,1.0,A,Leicester City,2014
250,1.0,3.0,2.0,H,Queens Park Rangers,2014
251,1.0,1.0,-0.0,A,Newcastle United,2014
252,4.0,1.0,-3.0,H,Manchester City,2014
253,1.0,2.0,1.0,A,Aston Villa,2014
254,0.0,1.0,1.0,H,Hull City,2014
255,0.0,2.0,2.0,H,Everton,2014
256,1.0,0.0,-1.0,A,West Bromwich Albion,2014
257,2.0,1.0,-1.0,H,Crystal Palace,2014
258,2.0,1.0,-1.0,A,Chelsea,2014
