,concede,goal,margin,mode,opponent,season
0,0.0,1.0,1.0,H,Tottenham Hotspur,2007
1,2.0,2.0,-0.0,A,Birmingham City,2007
2,3.0,0.0,-3.0,A,Wigan Athletic,2007
3,2.0,0.0,-2.0,H,Liverpool,2007
4,1.0,0.0,-1.0,A,Manchester United,2007
5,1.0,2.0,1.0,H,Reading,2007
6,2.0,2.0,-0.0,A,Middlesbrough,2007
7,2.0,1.0,-1.0,H,Blackburn Rovers,2007
8,3.0,2.0,-1.0,A,Arsenal,2007
9,3.0,1.0,-2.0,A,West Ham United,2007
10,1.0,1.0,0.0,H,Fulham,2007
11,1.0,0.0,-1.0,A,Manchester City,2007
12,1.0,1.0,0.0,H,Newcastle United,2007
13,7.0,1.0,-6.0,A,Everton,2007
14,0.0,1.0,1.0,H,Derby County,2007
15,2.0,0.0,-2.0,A,Chelsea,2007
16,1.0,1.0,0.0,H,Aston Villa,2007
17,2.0,1.0,-1.0,A,Reading,2007
18,4.0,0.0,-4.0,H,Manchester United,2007
19,1.0,3.0,2.0,H,Bolton Wanderers,2007
20,1.0,0.0,-1.0,A,Blackburn Rovers,2007
21,0.0,2.0,2.0,H,Portsmouth,2007
22,2.0,0.0,-2.0,A,Tottenham Hotspur,2007
23,0.0,2.0,2.0,H,Birmingham City,2007
24,3.0,0.0,-3.0,A,Liverpool,2007
25,0.0,2.0,2.0,H,Wigan Athletic,2007
26,1.0,0.0,-1.0,A,Portsmouth,2007
27,0.0,0.0,-0.0,A,Derby County,2007
28,1.0,0.0,-1.0,H,Everton,2007
29,1.0,0.0,-1.0,H,Chelsea,2007
30,0.0,1.0,1.0,A,Aston Villa,2007
31,1.0,2.0,1.0,H,West Ham United,2007
32,1.0,3.0,2.0,A,Fulham,2007
33,2.0,1.0,-1.0,H,Manchester City,2007
34,2.0,0.0,-2.0,A,Newcastle United,2007
35,2.0,3.0,1.0,H,Middlesbrough,2007
36,2.0,0.0,-2.0,A,Bolton Wanderers,2007
37,1.0,0.0,-1.0,H,Arsenal,2007
38,1.0,0.0,-1.0,H,Liverpool,2008
39,1.0,2.0,1.0,A,Tottenham Hotspur,2008
40,3.0,0.0,-3.0,H,Manchester City,2008
41,1.0,1.0,-0.0,A,Wigan Athletic,2008
42,0.0,2.0,2.0,H,Middlesbrough,2008
43,2.0,1.0,-1.0,A,Aston Villa,2008
44,1.0,1.0,0.0,H,Arsenal,2008
45,0.0,0.0,-0.0,A,Fulham,2008
46,1.0,2.0,1.0,H,Newcastle United,2008
47,1.0,0.0,-1.0,A,Stoke City,2008
48,5.0,0.0,-5.0,A,Chelsea,2008
49,2.0,1.0,-1.0,H,Portsmouth,2008
50,1.0,2.0,1.0,A,Blackburn Rovers,2008
51,1.0,0.0,-1.0,H,West Ham United,2008
52,4.0,1.0,-3.0,H,Bolton Wanderers,2008
53,1.0,0.0,-1.0,A,Manchester United,2008
54,0.0,4.0,4.0,H,West Bromwich Albion,2008
55,1.0,4.0,3.0,A,Hull City,2008
56,0.0,0.0,0.0,H,Blackburn Rovers,2008
57,3.0,0.0,-3.0,A,Everton,2008
58,1.0,1.0,-0.0,A,Middlesbrough,2008
59,2.0,1.0,-1.0,H,Aston Villa,2008
60,0.0,1.0,1.0,H,Fulham,2008
61,1.0,1.0,-0.0,A,Newcastle United,2008
62,0.0,2.0,2.0,H,Stoke City,2008
63,0.0,0.0,-0.0,A,Arsenal,2008
64,2.0,0.0,-2.0,A,Liverpool,2008
65,1.0,1.0,0.0,H,Tottenham Hotspur,2008
66,2.0,1.0,-1.0,H,Wigan Athletic,2008
67,1.0,0.0,-1.0,A,Manchester City,2008
68,2.0,0.0,-2.0,A,West Ham United,2008
69,2.0,1.0,-1.0,H,Manchester United,2008
70,0.0,1.0,1.0,H,Hull City,2008
71,3.0,0.0,-3.0,A,West Bromwich Albion,2008
72,2.0,0.0,-2.0,H,Everton,2008
73,0.0,0.0,-0.0,A,Bolton Wanderers,2008
74,3.0,1.0,-2.0,A,Portsmouth,2008
75,3.0,2.0,-1.0,H,Chelsea,2008
76,0.0,1.0,1.0,A,Bolton Wanderers,2009
77,3.0,1.0,-2.0,H,Chelsea,2009
78,1.0,2.0,1.0,H,Blackburn Rovers,2009
79,1.0,0.0,-1.0,A,Stoke City,2009
80,1.0,4.0,3.0,H,Hull City,2009
81,3.0,1.0,-2.0,A,Burnley,2009
82,2.0,5.0,3.0,H,Wolverhampton Wanderers,2009
83,2.0,2.0,-0.0,A,Manchester United,2009
84,0.0,1.0,1.0,H,Liverpool,2009
85,2.0,1.0,-1.0,A,Birmingham City,2009
86,2.0,2.0,0.0,H,West Ham United,2009
87,2.0,0.0,-2.0,A,Tottenham Hotspur,2009
88,0.0,1.0,1.0,H,Arsenal,2009
89,1.0,0.0,-1.0,A,Wigan Athletic,2009
90,1.0,0.0,-1.0,A,Fulham,2009
91,1.0,1.0,0.0,H,Portsmouth,2009
92,2.0,0.0,-2.0,H,Aston Villa,2009
93,4.0,3.0,-1.0,A,Manchester City,2009
94,1.0,1.0,0.0,H,Everton,2009
95,2.0,2.0,-0.0,A,Blackburn Rovers,2009
96,7.0,2.0,-5.0,A,Chelsea,2009
97,2.0,0.0,-2.0,A,Everton,2009
98,0.0,0.0,0.0,H,Stoke City,2009
99,1.0,1.0,0.0,H,Wigan Athletic,2009
100,1.0,1.0,-0.0,A,Portsmouth,2009
101,2.0,0.0,-2.0,A,Arsenal,2009
102,0.0,0.0,0.0,H,Fulham,2009
103,0.0,4.0,4.0,H,Bolton Wanderers,2009
104,1.0,1.0,0.0,H,Manchester City,2009
105,1.0,3.0,2.0,H,Birmingham City,2009
106,1.0,1.0,-0.0,A,Aston Villa,2009
107,3.0,0.0,-3.0,A,Liverpool,2009
108,1.0,3.0,2.0,H,Tottenham Hotspur,2009
109,1.0,0.0,-1.0,A,West Ham United,2009
110,1.0,2.0,1.0,H,Burnley,2009
111,0.0,1.0,1.0,A,Hull City,2009
112,1.0,0.0,-1.0,H,Manchester United,2009
113,2.0,1.0,-1.0,A,Wolverhampton Wanderers,2009
114,2.0,2.0,0.0,H,Birmingham City,2010
115,1.0,0.0,-1.0,A,West Bromwich Albion,2010
116,0.0,1.0,1.0,H,Manchester City,2010
117,1.0,1.0,-0.0,A,Wigan Athletic,2010
118,1.0,1.0,0.0,H,Arsenal,2010
119,2.0,2.0,-0.0,A,Liverpool,2010
120,0.0,0.0,0.0,H,Manchester United,2010
121,0.0,0.0,-0.0,A,Blackburn Rovers,2010
122,0.0,1.0,1.0,H,Aston Villa,2010
123,5.0,1.0,-4.0,A,Newcastle United,2010
124,0.0,2.0,2.0,H,Stoke City,2010
125,1.0,1.0,-0.0,A,Tottenham Hotspur,2010
126,0.0,3.0,3.0,A,Chelsea,2010
127,2.0,2.0,0.0,H,Everton,2010
128,3.0,2.0,-1.0,A,Wolverhampton Wanderers,2010
129,0.0,1.0,1.0,H,West Ham United,2010
130,0.0,0.0,-0.0,A,Fulham,2010
131,0.0,1.0,1.0,H,Bolton Wanderers,2010
132,2.0,0.0,-2.0,A,Manchester United,2010
133,2.0,0.0,-2.0,H,Blackpool,2010
134,0.0,3.0,3.0,H,Blackburn Rovers,2010
135,0.0,1.0,1.0,A,Aston Villa,2010
136,1.0,1.0,0.0,H,Newcastle United,2010
137,1.0,2.0,1.0,A,Blackpool,2010
138,4.0,2.0,-2.0,H,Chelsea,2010
139,3.0,2.0,-1.0,A,Stoke City,2010
140,2.0,1.0,-1.0,H,Tottenham Hotspur,2010
141,2.0,0.0,-2.0,A,Everton,2010
142,0.0,0.0,-0.0,A,Arsenal,2010
143,2.0,0.0,-2.0,H,Liverpool,2010
144,5.0,0.0,-5.0,A,Manchester City,2010
145,3.0,2.0,-1.0,H,West Bromwich Albion,2010
146,2.0,0.0,-2.0,A,Birmingham City,2010
147,2.0,4.0,2.0,H,Wigan Athletic,2010
148,3.0,0.0,-3.0,H,Fulham,2010
149,1.0,2.0,1.0,A,Bolton Wanderers,2010
150,3.0,1.0,-2.0,H,Wolverhampton Wanderers,2010
151,0.0,3.0,3.0,A,West Ham United,2010
152,1.0,1.0,-0.0,A,Liverpool,2011
153,1.0,0.0,-1.0,H,Newcastle United,2011
154,0.0,0.0,-0.0,A,Swansea City,2011
155,2.0,1.0,-1.0,H,Chelsea,2011
156,0.0,4.0,4.0,H,Stoke City,2011
157,2.0,1.0,-1.0,A,Norwich City,2011
158,2.0,2.0,0.0,H,West Bromwich Albion,2011
159,2.0,1.0,-1.0,A,Arsenal,2011
160,0.0,2.0,2.0,A,Bolton Wanderers,2011
161,2.0,2.0,0.0,H,Aston Villa,2011
162,1.0,0.0,-1.0,A,Manchester United,2011
163,0.0,0.0,0.0,H,Fulham,2011
164,2.0,1.0,-1.0,H,Wigan Athletic,2011
165,2.0,1.0,-1.0,A,Wolverhampton Wanderers,2011
166,1.0,2.0,1.0,H,Blackburn Rovers,2011
167,1.0,0.0,-1.0,A,Tottenham Hotspur,2011
168,2.0,3.0,1.0,A,Queens Park Rangers,2011
169,1.0,1.0,0.0,H,Everton,2011
170,0.0,1.0,1.0,H,Manchester City,2011
171,1.0,4.0,3.0,A,Wigan Athletic,2011
172,1.0,0.0,-1.0,A,Chelsea,2011
173,0.0,2.0,2.0,H,Swansea City,2011
174,0.0,3.0,3.0,H,Norwich City,2011
175,0.0,1.0,1.0,A,Stoke City,2011
176,2.0,1.0,-1.0,H,Arsenal,2011
177,4.0,0.0,-4.0,A,West Bromwich Albion,2011
178,1.0,1.0,-0.0,A,Newcastle United,2011
179,0.0,1.0,1.0,H,Liverpool,2011
180,2.0,0.0,-2.0,A,Blackburn Rovers,2011
181,1.0,3.0,2.0,H,Queens Park Rangers,2011
182,3.0,3.0,-0.0,A,Manchester City,2011
183,0.0,0.0,0.0,H,Tottenham Hotspur,2011
184,4.0,0.0,-4.0,A,Everton,2011
185,0.0,0.0,0.0,H,Wolverhampton Wanderers,2011
186,0.0,0.0,-0.0,A,Aston Villa,2011
187,2.0,2.0,0.0,H,Bolton Wanderers,2011
188,2.0,1.0,-1.0,A,Fulham,2011
189,1.0,0.0,-1.0,H,Manchester United,2011
190,0.0,0.0,-0.0,A,Arsenal,2012
191,2.0,2.0,-0.0,A,Swansea City,2012
192,1.0,1.0,0.0,H,Liverpool,2012
193,1.0,1.0,-0.0,A,West Ham United,2012
194,0.0,1.0,1.0,H,Wigan Athletic,2012
195,3.0,0.0,-3.0,A,Manchester City,2012
196,1.0,1.0,0.0,H,Newcastle United,2012
197,0.0,0.0,-0.0,A,Stoke City,2012
198,1.0,0.0,-1.0,H,Aston Villa,2012
199,2.0,1.0,-1.0,A,Everton,2012
200,1.0,3.0,2.0,A,Fulham,2012
201,4.0,2.0,-2.0,H,West Bromwich Albion,2012
202,0.0,0.0,0.0,H,Queens Park Rangers,2012
203,2.0,1.0,-1.0,A,Norwich City,2012
204,3.0,1.0,-2.0,H,Chelsea,2012
205,0.0,3.0,3.0,H,Reading,2012
206,3.0,1.0,-2.0,A,Manchester United,2012
207,0.0,1.0,1.0,A,Southampton,2012
208,0.0,1.0,1.0,H,Manchester City,2012
209,2.0,1.0,-1.0,H,Tottenham Hotspur,2012
210,3.0,0.0,-3.0,A,Liverpool,2012
211,0.0,3.0,3.0,H,West Ham United,2012
212,2.0,3.0,1.0,A,Wigan Athletic,2012
213,0.0,0.0,0.0,H,Swansea City,2012
214,2.0,1.0,-1.0,A,Reading,2012
215,1.0,0.0,-1.0,H,Arsenal,2012
216,2.0,1.0,-1.0,A,West Bromwich Albion,2012
217,2.0,2.0,0.0,H,Fulham,2012
218,3.0,1.0,-2.0,A,Queens Park Rangers,2012
219,1.0,1.0,0.0,H,Norwich City,2012
220,1.0,0.0,-1.0,H,Manchester United,2012
221,2.0,1.0,-1.0,A,Chelsea,2012
222,0.0,3.0,3.0,A,Newcastle United,2012
223,0.0,1.0,1.0,H,Everton,2012
224,6.0,1.0,-5.0,A,Aston Villa,2012
225,1.0,1.0,0.0,H,Stoke City,2012
226,1.0,1.0,0.0,H,Southampton,2012
227,1.0,0.0,-1.0,A,Tottenham Hotspur,2012
228,1.0,0.0,-1.0,H,Fulham,2013
229,1.0,1.0,-0.0,A,Southampton,2013
230,3.0,1.0,-2.0,A,Crystal Palace,2013
231,3.0,1.0,-2.0,H,Arsenal,2013
232,3.0,0.0,-3.0,A,West Bromwich Albion,2013
233,3.0,1.0,-2.0,H,Liverpool,2013
234,2.0,1.0,-1.0,H,Manchester United,2013
235,4.0,0.0,-4.0,A,Swansea City,2013
236,1.0,2.0,1.0,H,Newcastle United,2013
237,1.0,0.0,-1.0,A,Hull City,2013
238,0.0,1.0,1.0,H,Manchester City,2013
239,2.0,0.0,-2.0,A,Stoke City,2013
240,0.0,0.0,-0.0,A,Aston Villa,2013
241,4.0,3.0,-1.0,H,Chelsea,2013
242,2.0,1.0,-1.0,H,Tottenham Hotspur,2013
243,0.0,0.0,-0.0,A,West Ham United,2013
244,0.0,0.0,0.0,H,Norwich City,2013
245,0.0,1.0,1.0,A,Everton,2013
246,2.0,2.0,-0.0,A,Cardiff City,2013
247,1.0,0.0,-1.0,H,Aston Villa,2013
248,1.0,4.0,3.0,A,Fulham,2013
249,2.0,2.0,0.0,H,Southampton,2013
250,0.0,1.0,1.0,H,Stoke City,2013
251,0.0,3.0,3.0,A,Newcastle United,2013
252,2.0,0.0,-2.0,H,Hull City,2013
253,4.0,1.0,-3.0,A,Arsenal,2013
254,0.0,0.0,0.0,H,Crystal Palace,2013
255,2.0,0.0,-2.0,A,Norwich City,2013
256,2.0,1.0,-1.0,A,Liverpool,2013
257,2.0,1.0,-1.0,H,West Ham United,2013
258,5.0,1.0,-4.0,A,Tottenham Hotspur,2013
259,1.0,0.0,-1.0,H,Everton,2013
260,2.0,2.0,-0.0,A,Manchester City,2013
261,1.0,2.0,1.0,A,Chelsea,2013
262,0.0,4.0,4.0,H,Cardiff City,2013
263,0.0,1.0,1.0,A,Manchester United,2013
264,0.0,2.0,2.0,H,West Bromwich Albion,2013
265,3.0,1.0,-2.0,H,Swansea City,2013
266,2.0,2.0,-0.0,A,West Bromwich Albion,2014
267,1.0,1.0,0.0,H,Manchester United,2014
268,1.0,0.0,-1.0,A,Queens Park Rangers,2014
269,2.0,2.0,0.0,H,Tottenham Hotspur,2014
270,0.0,0.0,-0.0,A,Burnley,2014
271,0.0,0.0,0.0,H,Swansea City,2014
272,1.0,3.0,2.0,H,Stoke City,2014
273,8.0,0.0,-8.0,A,Southampton,2014
274,2.0,0.0,-2.0,H,Arsenal,2014
275,1.0,3.0,2.0,A,Crystal Palace,2014
276,1.0,1.0,0.0,H,Everton,2014
277,0.0,0.0,-0.0,A,Leicester City,2014
278,0.0,0.0,0.0,H,Chelsea,2014
279,4.0,1.0,-3.0,H,Manchester City,2014
280,0.0,0.0,-0.0,A,Liverpool,2014
281,1.0,1.0,0.0,H,West Ham United,2014
282,0.0,1.0,1.0,A,Newcastle United,2014
283,3.0,1.0,-2.0,H,Hull City,2014
284,0.0,0.0,-0.0,A,Aston Villa,2014
285,3.0,2.0,-1.0,A,Manchester City,2014
286,1.0,0.0,-1.0,H,Liverpool,2014
287,2.0,1.0,-1.0,A,Tottenham Hotspur,2014
288,0.0,2.0,2.0,H,Burnley,2014
289,1.0,1.0,-0.0,A,Swansea City,2014
290,2.0,0.0,-2.0,H,Queens Park Rangers,2014
291,0.0,0.0,0.0,H,West Bromwich Albion,2014
292,2.0,0.0,-2.0,A,Manchester United,2014
293,1.0,1.0,-0.0,A,Hull City,2014
294,4.0,0.0,-4.0,H,Aston Villa,2014
295,1.0,0.0,-1.0,A,West Ham United,2014
296,0.0,1.0,1.0,H,Newcastle United,2014
297,4.0,1.0,-3.0,H,Crystal Palace,2014
298,1.0,1.0,-0.0,A,Stoke City,2014
299,1.0,2.0,1.0,H,Southampton,2014
300,0.0,2.0,2.0,A,Everton,2014
301,0.0,0.0,0.0,H,Leicester City,2014
302,0.0,0.0,-0.0,A,Arsenal,2014
303,3.0,1.0,-2.0,A,Chelsea,2014
304,4.0,2.0,-2.0,A,Leicester City,2015
305,3.0,1.0,-2.0,H,Norwich City,2015
306,1.0,1.0,0.0,H,Swansea City,2015
307,2.0,2.0,-0.0,A,Aston Villa,2015
308,1.0,0.0,-1.0,H,Tottenham Hotspur,2015
309,2.0,0.0,-2.0,A,AFC Bournemouth,2015
310,3.0,0.0,-3.0,A,Manchester United,2015
311,2.0,2.0,0.0,H,West Ham United,2015
312,1.0,0.0,-1.0,A,West Bromwich Albion,2015
313,0.0,3.0,3.0,H,Newcastle United,2015
314,6.0,2.0,-4.0,A,Everton,2015
315,1.0,0.0,-1.0,H,Southampton,2015
316,0.0,1.0,1.0,A,Crystal Palace,2015
317,0.0,2.0,2.0,H,Stoke City,2015
318,3.0,1.0,-2.0,A,Arsenal,2015
319,1.0,0.0,-1.0,H,Watford,2015
320,3.0,1.0,-2.0,A,Chelsea,2015
321,4.0,1.0,-3.0,A,Manchester City,2015
322,1.0,0.0,-1.0,H,Liverpool,2015
323,1.0,3.0,2.0,H,Aston Villa,2015
324,2.0,4.0,2.0,A,Swansea City,2015
325,4.0,1.0,-3.0,A,Tottenham Hotspur,2015
326,1.0,1.0,0.0,H,AFC Bournemouth,2015
327,1.0,0.0,-1.0,H,Manchester City,2015
328,2.0,2.0,-0.0,A,Liverpool,2015
329,1.0,2.0,1.0,H,Manchester United,2015
330,1.0,0.0,-1.0,A,West Ham United,2015
331,2.0,2.0,0.0,H,Crystal Palace,2015
332,1.0,1.0,-0.0,A,Southampton,2015
333,1.0,1.0,-0.0,A,Newcastle United,2015
334,0.0,0.0,0.0,H,West Bromwich Albion,2015
335,2.0,0.0,-2.0,H,Leicester City,2015
336,0.0,3.0,3.0,A,Norwich City,2015
337,0.0,0.0,0.0,H,Arsenal,2015
338,1.0,1.0,-0.0,A,Stoke City,2015
339,2.0,3.0,1.0,H,Chelsea,2015
340,0.0,3.0,3.0,H,Everton,2015
341,2.0,2.0,-0.0,A,Watford,2015
342,2.0,1.0,-1.0,A,Manchester City,2016
343,2.0,1.0,-1.0,H,Middlesbrough,2016
344,1.0,1.0,-0.0,A,Southampton,2016
345,3.0,0.0,-3.0,H,Everton,2016
346,1.0,0.0,-1.0,A,Tottenham Hotspur,2016
347,3.0,2.0,-1.0,H,Crystal Palace,2016
348,1.0,1.0,0.0,H,West Bromwich Albion,2016
349,2.0,0.0,-2.0,A,Stoke City,2016
350,1.0,0.0,-1.0,A,West Ham United,2016
351,4.0,1.0,-3.0,H,Arsenal,2016
352,1.0,2.0,1.0,A,AFC Bournemouth,2016
353,0.0,3.0,3.0,H,Hull City,2016
354,2.0,0.0,-2.0,A,Liverpool,2016
355,1.0,2.0,1.0,H,Leicester City,2016
356,3.0,0.0,-3.0,A,Swansea City,2016
357,1.0,0.0,-1.0,H,Chelsea,2016
358,0.0,1.0,1.0,H,Watford,2016
359,3.0,1.0,-2.0,A,Manchester United,2016
360,4.0,1.0,-3.0,A,Burnley,2016
361,2.0,2.0,0.0,H,Liverpool,2016
362,3.0,1.0,-2.0,H,Stoke City,2016
363,2.0,0.0,-2.0,A,West Bromwich Albion,2016
364,0.0,0.0,0.0,H,Tottenham Hotspur,2016
365,0.0,4.0,4.0,A,Crystal Palace,2016
366,4.0,0.0,-4.0,H,Southampton,2016
367,2.0,0.0,-2.0,A,Everton,2016
368,2.0,0.0,-2.0,H,Manchester City,2016
369,0.0,0.0,0.0,H,Burnley,2016
370,1.0,0.0,-1.0,A,Watford,2016
371,2.0,0.0,-2.0,A,Leicester City,2016
372,3.0,0.0,-3.0,H,Manchester United,2016
373,2.0,2.0,0.0,H,West Ham United,2016
374,1.0,0.0,-1.0,A,Middlesbrough,2016
375,1.0,0.0,-1.0,H,AFC Bournemouth,2016
376,0.0,2.0,2.0,A,Hull City,2016
377,2.0,0.0,-2.0,H,Swansea City,2016
378,2.0,0.0,-2.0,A,Arsenal,2016
379,5.0,1.0,-4.0,A,Chelsea,2016
