,concede,goal,margin,mode,opponent,season
0,4.0,0.0,-4.0,A,Manchester City,2011
1,0.0,0.0,0.0,H,Wigan Athletic,2011
2,0.0,0.0,0.0,H,Sunderland,2011
3,1.0,0.0,-1.0,A,Arsenal,2011
4,0.0,3.0,3.0,H,West Bromwich Albion,2011
5,4.0,1.0,-3.0,A,Chelsea,2011
6,0.0,2.0,2.0,H,Stoke City,2011
7,3.0,1.0,-2.0,A,Norwich City,2011
8,2.0,2.0,-0.0,A,Wolverhampton Wanderers,2011
9,1.0,3.0,2.0,H,Bolton Wanderers,2011
10,0.0,0.0,-0.0,A,Liverpool,2011
11,1.0,0.0,-1.0,H,Manchester United,2011
12,0.0,0.0,0.0,H,Aston Villa,2011
13,4.0,2.0,-2.0,A,Blackburn Rovers,2011
14,0.0,2.0,2.0,H,Fulham,2011
15,0.0,0.0,-0.0,A,Newcastle United,2011
16,1.0,0.0,-1.0,A,Everton,2011
17,1.0,1.0,0.0,H,Queens Park Rangers,2011
18,1.0,1.0,0.0,H,Tottenham Hotspur,2011
19,0.0,2.0,2.0,A,Aston Villa,2011
20,2.0,3.0,1.0,H,Arsenal,2011
21,2.0,0.0,-2.0,A,Sunderland,2011
22,1.0,1.0,0.0,H,Chelsea,2011
23,1.0,2.0,1.0,A,West Bromwich Albion,2011
24,3.0,2.0,-1.0,H,Norwich City,2011
25,2.0,0.0,-2.0,A,Stoke City,2011
26,0.0,2.0,2.0,A,Wigan Athletic,2011
27,0.0,1.0,1.0,H,Manchester City,2011
28,0.0,3.0,3.0,A,Fulham,2011
29,2.0,0.0,-2.0,H,Everton,2011
30,3.0,1.0,-2.0,A,Tottenham Hotspur,2011
31,2.0,0.0,-2.0,H,Newcastle United,2011
32,3.0,0.0,-3.0,A,Queens Park Rangers,2011
33,0.0,3.0,3.0,H,Blackburn Rovers,2011
34,1.0,1.0,-0.0,A,Bolton Wanderers,2011
35,4.0,4.0,0.0,H,Wolverhampton Wanderers,2011
36,2.0,0.0,-2.0,A,Manchester United,2011
37,0.0,1.0,1.0,H,Liverpool,2011
