,concede,goal,margin,mode,opponent,season
0,2.0,1.0,-1.0,A,Everton,2006
1,1.0,1.0,0.0,H,West Ham United,2006
2,2.0,1.0,-1.0,H,Manchester United,2006
3,1.0,0.0,-1.0,A,Bolton Wanderers,2006
4,0.0,0.0,0.0,H,Aston Villa,2006
5,1.0,1.0,-0.0,A,Wigan Athletic,2006
6,3.0,3.0,0.0,H,Fulham,2006
7,3.0,0.0,-3.0,A,Arsenal,2006
8,0.0,0.0,-0.0,A,Charlton Athletic,2006
9,0.0,0.0,0.0,H,Tottenham Hotspur,2006
10,0.0,2.0,2.0,H,Middlesbrough,2006
11,4.0,0.0,-4.0,A,Chelsea,2006
12,2.0,1.0,-1.0,A,Portsmouth,2006
13,1.0,0.0,-1.0,H,Sheffield United,2006
14,0.0,0.0,-0.0,A,Manchester City,2006
15,0.0,0.0,0.0,H,Reading,2006
16,2.0,1.0,-1.0,A,Newcastle United,2006
17,2.0,0.0,-2.0,A,Liverpool,2006
18,2.0,1.0,-1.0,H,Arsenal,2006
19,0.0,0.0,-0.0,A,Fulham,2006
20,3.0,0.0,-3.0,H,Liverpool,2006
21,2.0,0.0,-2.0,A,Aston Villa,2006
22,1.0,2.0,1.0,H,Blackburn Rovers,2006
23,4.0,0.0,-4.0,A,Manchester United,2006
24,1.0,0.0,-1.0,H,Bolton Wanderers,2006
25,0.0,1.0,1.0,A,West Ham United,2006
26,1.0,1.0,0.0,H,Wigan Athletic,2006
27,3.0,0.0,-3.0,H,Everton,2006
28,2.0,2.0,0.0,H,Charlton Athletic,2006
29,3.0,1.0,-2.0,A,Tottenham Hotspur,2006
30,1.0,0.0,-1.0,H,Chelsea,2006
31,4.0,1.0,-3.0,A,Middlesbrough,2006
32,2.0,4.0,2.0,H,Portsmouth,2006
33,3.0,1.0,-2.0,A,Blackburn Rovers,2006
34,1.0,1.0,0.0,H,Manchester City,2006
35,1.0,0.0,-1.0,A,Sheffield United,2006
36,0.0,2.0,2.0,A,Reading,2006
37,1.0,1.0,0.0,H,Newcastle United,2006
38,2.0,2.0,-0.0,A,Everton,2015
39,0.0,0.0,0.0,H,West Bromwich Albion,2015
40,0.0,0.0,0.0,H,Southampton,2015
41,2.0,0.0,-2.0,A,Manchester City,2015
42,0.0,1.0,1.0,H,Swansea City,2015
43,1.0,2.0,1.0,A,Newcastle United,2015
44,1.0,0.0,-1.0,H,Crystal Palace,2015
45,1.0,1.0,-0.0,A,AFC Bournemouth,2015
46,3.0,0.0,-3.0,H,Arsenal,2015
47,0.0,2.0,2.0,A,Stoke City,2015
48,0.0,2.0,2.0,H,West Ham United,2015
49,2.0,1.0,-1.0,A,Leicester City,2015
50,2.0,1.0,-1.0,H,Manchester United,2015
51,2.0,3.0,1.0,A,Aston Villa,2015
52,0.0,2.0,2.0,H,Norwich City,2015
53,0.0,1.0,1.0,A,Sunderland,2015
54,0.0,3.0,3.0,H,Liverpool,2015
55,2.0,2.0,-0.0,A,Chelsea,2015
56,2.0,1.0,-1.0,H,Tottenham Hotspur,2015
57,2.0,1.0,-1.0,H,Manchester City,2015
58,2.0,0.0,-2.0,A,Southampton,2015
59,1.0,0.0,-1.0,A,Swansea City,2015
60,1.0,2.0,1.0,H,Newcastle United,2015
61,0.0,0.0,0.0,H,Chelsea,2015
62,1.0,0.0,-1.0,A,Tottenham Hotspur,2015
63,1.0,2.0,1.0,A,Crystal Palace,2015
64,0.0,0.0,0.0,H,AFC Bournemouth,2015
65,1.0,0.0,-1.0,A,Manchester United,2015
66,1.0,0.0,-1.0,H,Leicester City,2015
67,2.0,1.0,-1.0,H,Stoke City,2015
68,4.0,0.0,-4.0,A,Arsenal,2015
69,1.0,1.0,0.0,H,Everton,2015
70,0.0,1.0,1.0,A,West Bromwich Albion,2015
71,3.0,1.0,-2.0,A,West Ham United,2015
72,2.0,3.0,1.0,H,Aston Villa,2015
73,2.0,0.0,-2.0,A,Liverpool,2015
74,4.0,2.0,-2.0,A,Norwich City,2015
75,2.0,2.0,0.0,H,Sunderland,2015
76,1.0,1.0,-0.0,A,Southampton,2016
77,2.0,1.0,-1.0,H,Chelsea,2016
78,3.0,1.0,-2.0,H,Arsenal,2016
79,2.0,4.0,2.0,A,West Ham United,2016
80,1.0,3.0,2.0,H,Manchester United,2016
81,2.0,0.0,-2.0,A,Burnley,2016
82,2.0,2.0,0.0,H,AFC Bournemouth,2016
83,0.0,1.0,1.0,A,Middlesbrough,2016
84,0.0,0.0,-0.0,A,Swansea City,2016
85,0.0,1.0,1.0,H,Hull City,2016
86,6.0,1.0,-5.0,A,Liverpool,2016
87,1.0,2.0,1.0,H,Leicester City,2016
88,1.0,0.0,-1.0,H,Stoke City,2016
89,3.0,1.0,-2.0,A,West Bromwich Albion,2016
90,2.0,3.0,1.0,H,Everton,2016
91,2.0,0.0,-2.0,A,Manchester City,2016
92,1.0,0.0,-1.0,A,Sunderland,2016
93,1.0,1.0,0.0,H,Crystal Palace,2016
94,4.0,1.0,-3.0,H,Tottenham Hotspur,2016
95,2.0,0.0,-2.0,A,Stoke City,2016
96,0.0,0.0,0.0,H,Middlesbrough,2016
97,2.0,2.0,-0.0,A,AFC Bournemouth,2016
98,1.0,2.0,1.0,A,Arsenal,2016
99,1.0,2.0,1.0,H,Burnley,2016
100,2.0,0.0,-2.0,A,Manchester United,2016
101,1.0,1.0,0.0,H,West Ham United,2016
102,4.0,3.0,-1.0,H,Southampton,2016
103,1.0,0.0,-1.0,A,Crystal Palace,2016
104,0.0,1.0,1.0,H,Sunderland,2016
105,0.0,2.0,2.0,H,West Bromwich Albion,2016
106,4.0,0.0,-4.0,A,Tottenham Hotspur,2016
107,0.0,1.0,1.0,H,Swansea City,2016
108,2.0,0.0,-2.0,A,Hull City,2016
109,1.0,0.0,-1.0,H,Liverpool,2016
110,3.0,0.0,-3.0,A,Leicester City,2016
111,1.0,0.0,-1.0,A,Everton,2016
112,4.0,3.0,-1.0,A,Chelsea,2016
113,5.0,0.0,-5.0,H,Manchester City,2016
114,3.0,3.0,0.0,H,Liverpool,2017
115,0.0,2.0,2.0,A,AFC Bournemouth,2017
116,0.0,0.0,0.0,H,Brighton and Hove Albion,2017
117,0.0,2.0,2.0,A,Southampton,2017
118,6.0,0.0,-6.0,H,Manchester City,2017
119,1.0,2.0,1.0,A,Swansea City,2017
120,2.0,2.0,-0.0,A,West Bromwich Albion,2017
121,1.0,2.0,1.0,H,Arsenal,2017
122,4.0,2.0,-2.0,A,Chelsea,2017
123,1.0,0.0,-1.0,H,Stoke City,2017
124,3.0,2.0,-1.0,A,Everton,2017
125,0.0,2.0,2.0,H,West Ham United,2017
126,0.0,3.0,3.0,A,Newcastle United,2017
127,4.0,2.0,-2.0,H,Manchester United,2017
128,1.0,1.0,0.0,H,Tottenham Hotspur,2017
129,1.0,0.0,-1.0,A,Burnley,2017
130,2.0,1.0,-1.0,A,Crystal Palace,2017
131,4.0,1.0,-3.0,H,Huddersfield Town,2017
132,1.0,0.0,-1.0,A,Brighton and Hove Albion,2017
133,1.0,2.0,1.0,H,Leicester City,2017
134,2.0,1.0,-1.0,H,Swansea City,2017
135,3.0,1.0,-2.0,A,Manchester City,2017
136,2.0,2.0,0.0,H,Southampton,2017
137,2.0,0.0,-2.0,A,Leicester City,2017
138,0.0,0.0,-0.0,A,Stoke City,2017
139,1.0,4.0,3.0,H,Chelsea,2017
140,2.0,0.0,-2.0,A,West Ham United,2017
141,0.0,1.0,1.0,H,Everton,2017
142,0.0,1.0,1.0,H,West Bromwich Albion,2017
143,3.0,0.0,-3.0,A,Arsenal,2017
144,5.0,0.0,-5.0,A,Liverpool,2017
145,2.0,2.0,0.0,H,AFC Bournemouth,2017
146,2.0,1.0,-1.0,H,Burnley,2017
147,1.0,0.0,-1.0,A,Huddersfield Town,2017
148,0.0,0.0,0.0,H,Crystal Palace,2017
149,2.0,0.0,-2.0,A,Tottenham Hotspur,2017
150,1.0,2.0,1.0,H,Newcastle United,2017
151,1.0,0.0,-1.0,A,Manchester United,2017
