,concede,goal,margin,mode,opponent,season
0,1.0,0.0,-1.0,A,Arsenal,2008
1,2.0,1.0,-1.0,H,Everton,2008
2,0.0,0.0,-0.0,A,Bolton Wanderers,2008
3,2.0,3.0,1.0,H,West Ham United,2008
4,2.0,1.0,-1.0,H,Aston Villa,2008
5,0.0,1.0,1.0,A,Middlesbrough,2008
6,0.0,1.0,1.0,H,Fulham,2008
7,4.0,0.0,-4.0,A,Manchester United,2008
8,3.0,0.0,-3.0,H,Hull City,2008
9,2.0,1.0,-1.0,A,Newcastle United,2008
10,2.0,2.0,0.0,H,Blackburn Rovers,2008
11,3.0,0.0,-3.0,A,Liverpool,2008
12,3.0,0.0,-3.0,H,Chelsea,2008
13,1.0,0.0,-1.0,A,Stoke City,2008
14,2.0,1.0,-1.0,A,Wigan Athletic,2008
15,1.0,1.0,0.0,H,Portsmouth,2008
16,4.0,0.0,-4.0,A,Sunderland,2008
17,1.0,2.0,1.0,H,Manchester City,2008
18,2.0,0.0,-2.0,A,Chelsea,2008
19,0.0,2.0,2.0,H,Tottenham Hotspur,2008
20,2.0,1.0,-1.0,A,Aston Villa,2008
21,0.0,3.0,3.0,H,Middlesbrough,2008
22,5.0,0.0,-5.0,H,Manchester United,2008
23,2.0,2.0,-0.0,A,Hull City,2008
24,3.0,2.0,-1.0,H,Newcastle United,2008
25,2.0,0.0,-2.0,A,Fulham,2008
26,2.0,0.0,-2.0,A,Everton,2008
27,3.0,1.0,-2.0,H,Arsenal,2008
28,0.0,0.0,-0.0,A,West Ham United,2008
29,1.0,1.0,0.0,H,Bolton Wanderers,2008
30,2.0,0.0,-2.0,H,Stoke City,2008
31,2.0,2.0,-0.0,A,Portsmouth,2008
32,4.0,2.0,-2.0,A,Manchester City,2008
33,0.0,3.0,3.0,H,Sunderland,2008
34,1.0,0.0,-1.0,A,Tottenham Hotspur,2008
35,1.0,3.0,2.0,H,Wigan Athletic,2008
36,2.0,0.0,-2.0,H,Liverpool,2008
37,0.0,0.0,-0.0,A,Blackburn Rovers,2008
38,6.0,0.0,-6.0,A,Chelsea,2010
39,0.0,1.0,1.0,H,Sunderland,2010
40,1.0,0.0,-1.0,A,Liverpool,2010
41,1.0,1.0,0.0,H,Tottenham Hotspur,2010
42,1.0,3.0,2.0,H,Birmingham City,2010
43,2.0,3.0,1.0,A,Arsenal,2010
44,1.0,1.0,0.0,H,Bolton Wanderers,2010
45,2.0,2.0,-0.0,A,Manchester United,2010
46,1.0,2.0,1.0,H,Fulham,2010
47,2.0,1.0,-1.0,A,Blackpool,2010
48,2.0,0.0,-2.0,H,Manchester City,2010
49,2.0,2.0,-0.0,A,West Ham United,2010
50,1.0,0.0,-1.0,A,Wigan Athletic,2010
51,3.0,0.0,-3.0,H,Stoke City,2010
52,1.0,4.0,3.0,A,Everton,2010
53,1.0,3.0,2.0,H,Newcastle United,2010
54,2.0,1.0,-1.0,A,Aston Villa,2010
55,2.0,0.0,-2.0,A,Bolton Wanderers,2010
56,3.0,1.0,-2.0,H,Blackburn Rovers,2010
57,2.0,1.0,-1.0,H,Manchester United,2010
58,3.0,0.0,-3.0,A,Fulham,2010
59,2.0,3.0,1.0,H,Blackpool,2010
60,2.0,0.0,-2.0,A,Blackburn Rovers,2010
61,2.0,2.0,0.0,H,Wigan Athletic,2010
62,3.0,0.0,-3.0,A,Manchester City,2010
63,3.0,3.0,0.0,H,West Ham United,2010
64,1.0,1.0,0.0,H,Wolverhampton Wanderers,2010
65,1.0,1.0,-0.0,A,Stoke City,2010
66,1.0,3.0,2.0,A,Birmingham City,2010
67,2.0,2.0,0.0,H,Arsenal,2010
68,1.0,2.0,1.0,H,Liverpool,2010
69,2.0,3.0,1.0,A,Sunderland,2010
70,3.0,1.0,-2.0,H,Chelsea,2010
71,2.0,2.0,-0.0,A,Tottenham Hotspur,2010
72,1.0,2.0,1.0,H,Aston Villa,2010
73,3.0,1.0,-2.0,A,Wolverhampton Wanderers,2010
74,0.0,1.0,1.0,H,Everton,2010
75,3.0,3.0,-0.0,A,Newcastle United,2010
76,2.0,1.0,-1.0,H,Manchester United,2011
77,2.0,1.0,-1.0,A,Chelsea,2011
78,1.0,0.0,-1.0,H,Stoke City,2011
79,0.0,1.0,1.0,A,Norwich City,2011
80,3.0,0.0,-3.0,A,Swansea City,2011
81,0.0,0.0,0.0,H,Fulham,2011
82,2.0,2.0,-0.0,A,Sunderland,2011
83,0.0,2.0,2.0,H,Wolverhampton Wanderers,2011
84,1.0,2.0,1.0,A,Aston Villa,2011
85,2.0,0.0,-2.0,H,Liverpool,2011
86,3.0,0.0,-3.0,A,Arsenal,2011
