,concede,goal,margin,mode,opponent,season
0,2.0,0.0,-2.0,H,West Ham United,2009
1,0.0,1.0,1.0,A,Wigan Athletic,2009
2,1.0,0.0,-1.0,A,Manchester City,2009
3,1.0,1.0,0.0,H,Hull City,2009
4,3.0,1.0,-2.0,A,Blackburn Rovers,2009
5,1.0,2.0,1.0,H,Fulham,2009
6,5.0,2.0,-3.0,A,Sunderland,2009
7,1.0,0.0,-1.0,H,Portsmouth,2009
8,1.0,1.0,-0.0,A,Everton,2009
9,1.0,1.0,0.0,H,Aston Villa,2009
10,2.0,2.0,-0.0,A,Stoke City,2009
11,4.0,1.0,-3.0,H,Arsenal,2009
12,4.0,0.0,-4.0,A,Chelsea,2009
13,1.0,0.0,-1.0,H,Birmingham City,2009
14,1.0,2.0,1.0,H,Bolton Wanderers,2009
15,0.0,1.0,1.0,A,Tottenham Hotspur,2009
16,3.0,0.0,-3.0,A,Manchester United,2009
17,0.0,2.0,2.0,H,Burnley,2009
18,2.0,0.0,-2.0,A,Liverpool,2009
19,3.0,0.0,-3.0,H,Manchester City,2009
20,2.0,0.0,-2.0,H,Wigan Athletic,2009
21,0.0,0.0,0.0,H,Liverpool,2009
22,2.0,2.0,-0.0,A,Hull City,2009
23,2.0,1.0,-1.0,A,Birmingham City,2009
24,0.0,1.0,1.0,H,Tottenham Hotspur,2009
25,2.0,0.0,-2.0,H,Chelsea,2009
26,1.0,0.0,-1.0,A,Bolton Wanderers,2009
27,1.0,0.0,-1.0,H,Manchester United,2009
28,1.0,2.0,1.0,A,Burnley,2009
29,2.0,2.0,-0.0,A,Aston Villa,2009
30,1.0,3.0,2.0,A,West Ham United,2009
31,0.0,0.0,0.0,H,Everton,2009
32,1.0,0.0,-1.0,A,Arsenal,2009
33,0.0,0.0,0.0,H,Stoke City,2009
34,0.0,0.0,-0.0,A,Fulham,2009
35,1.0,1.0,0.0,H,Blackburn Rovers,2009
36,3.0,1.0,-2.0,A,Portsmouth,2009
37,1.0,2.0,1.0,H,Sunderland,2009
38,1.0,2.0,1.0,H,Stoke City,2010
39,1.0,1.0,-0.0,A,Everton,2010
40,1.0,1.0,0.0,H,Newcastle United,2010
41,2.0,1.0,-1.0,A,Fulham,2010
42,3.0,1.0,-2.0,A,Tottenham Hotspur,2010
43,2.0,1.0,-1.0,H,Aston Villa,2010
44,2.0,0.0,-2.0,A,Wigan Athletic,2010
45,1.0,1.0,0.0,H,West Ham United,2010
46,2.0,0.0,-2.0,A,Chelsea,2010
47,1.0,2.0,1.0,H,Manchester City,2010
48,2.0,1.0,-1.0,A,Manchester United,2010
49,2.0,0.0,-2.0,H,Arsenal,2010
50,3.0,2.0,-1.0,H,Bolton Wanderers,2010
51,2.0,1.0,-1.0,A,Blackpool,2010
52,2.0,3.0,1.0,H,Sunderland,2010
53,3.0,0.0,-3.0,A,Blackburn Rovers,2010
54,0.0,1.0,1.0,H,Birmingham City,2010
55,2.0,1.0,-1.0,H,Wigan Athletic,2010
56,0.0,1.0,1.0,A,Liverpool,2010
57,2.0,0.0,-2.0,A,West Ham United,2010
58,0.0,1.0,1.0,H,Chelsea,2010
59,4.0,3.0,-1.0,A,Manchester City,2010
60,3.0,0.0,-3.0,H,Liverpool,2010
61,1.0,0.0,-1.0,A,Bolton Wanderers,2010
62,1.0,2.0,1.0,H,Manchester United,2010
63,2.0,0.0,-2.0,A,Arsenal,2010
64,1.0,1.0,-0.0,A,West Bromwich Albion,2010
65,0.0,4.0,4.0,H,Blackpool,2010
66,3.0,3.0,0.0,H,Tottenham Hotspur,2010
67,0.0,1.0,1.0,A,Aston Villa,2010
68,4.0,1.0,-3.0,A,Newcastle United,2010
69,3.0,0.0,-3.0,H,Everton,2010
70,1.0,1.0,0.0,H,Fulham,2010
71,3.0,0.0,-3.0,A,Stoke City,2010
72,1.0,1.0,-0.0,A,Birmingham City,2010
73,1.0,3.0,2.0,H,West Bromwich Albion,2010
74,1.0,3.0,2.0,A,Sunderland,2010
75,3.0,2.0,-1.0,H,Blackburn Rovers,2010
76,1.0,2.0,1.0,A,Blackburn Rovers,2011
77,0.0,2.0,2.0,H,Fulham,2011
78,0.0,0.0,-0.0,A,Aston Villa,2011
79,2.0,0.0,-2.0,H,Tottenham Hotspur,2011
80,3.0,0.0,-3.0,H,Queens Park Rangers,2011
81,2.0,1.0,-1.0,A,Liverpool,2011
82,2.0,1.0,-1.0,H,Newcastle United,2011
83,2.0,0.0,-2.0,A,West Bromwich Albion,2011
84,2.0,2.0,0.0,H,Swansea City,2011
85,3.0,1.0,-2.0,A,Manchester City,2011
86,1.0,3.0,2.0,H,Wigan Athletic,2011
87,2.0,1.0,-1.0,A,Everton,2011
88,3.0,0.0,-3.0,A,Chelsea,2011
89,1.0,2.0,1.0,H,Sunderland,2011
90,4.0,1.0,-3.0,A,Manchester United,2011
91,2.0,1.0,-1.0,H,Stoke City,2011
92,2.0,2.0,0.0,H,Norwich City,2011
93,1.0,1.0,-0.0,A,Arsenal,2011
94,1.0,1.0,-0.0,A,Bolton Wanderers,2011
95,2.0,1.0,-1.0,H,Chelsea,2011
96,1.0,1.0,-0.0,A,Tottenham Hotspur,2011
97,3.0,2.0,-1.0,H,Aston Villa,2011
98,3.0,0.0,-3.0,H,Liverpool,2011
99,1.0,2.0,1.0,A,Queens Park Rangers,2011
100,5.0,1.0,-4.0,H,West Bromwich Albion,2011
101,2.0,2.0,-0.0,A,Newcastle United,2011
102,5.0,0.0,-5.0,A,Fulham,2011
103,2.0,0.0,-2.0,H,Blackburn Rovers,2011
104,5.0,0.0,-5.0,H,Manchester United,2011
105,2.0,1.0,-1.0,A,Norwich City,2011
106,3.0,2.0,-1.0,H,Bolton Wanderers,2011
107,2.0,1.0,-1.0,A,Stoke City,2011
108,3.0,0.0,-3.0,H,Arsenal,2011
109,0.0,0.0,-0.0,A,Sunderland,2011
110,2.0,0.0,-2.0,H,Manchester City,2011
111,4.0,4.0,-0.0,A,Swansea City,2011
112,0.0,0.0,0.0,H,Everton,2011
113,3.0,2.0,-1.0,A,Wigan Athletic,2011
